"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00509998","108057600","0.75","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264e8"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00509998","145152000","0.919192","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x140025f22"
"stbi__jpeg_huff_decode","0.00509998","45696000","0.281964","kip_sequential_soa_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x140013011"
"stbiw__jpg_writeBits","0.00499998","17740800","0.156069","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x1400245f1"
"stbi__stdio_write","0.00459998","38169600","0.376543","kip_sequential_soa_profile.exe","stbi__stdio_write(void *, void *, int)","stb_image_write.h","0x140023ef0"
"func@0x140201850","0.00459998","74726400","0.613014","ntoskrnl.exe","func@0x140201850","[Unknown]","0x140201850"
"func@0x1800413b9","0.00429998","106444800","0.421384","ntdll.dll","func@0x1800413b9","[Unknown]","0x1800413b9"
"func@0x14028dde0","0.00419998","29568000","0.260606","ntoskrnl.exe","func@0x14028dde0","[Unknown]","0x14028dde0"
"func@0x14030f65d","0.00379998","10752000","0.252903","ntoskrnl.exe","func@0x14030f65d","[Unknown]","0x14030f65d"
"stbi__get8","0.00379998","16665600","0.185212","kip_sequential_soa_profile.exe","stbi__get8","stb_image.h","0x140021b25"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00379998","84403200","0.75969","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e914"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00379998","46233600","0.240157","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14002601a"
"func@0x1403441f5","0.00369998","15590400","0.173228","ntoskrnl.exe","func@0x1403441f5","[Unknown]","0x1403441f5"
"func@0x1406b4c60","0.00329999","10752000","0.142857","ntoskrnl.exe","func@0x1406b4c60","[Unknown]","0x1406b4c60"
"func@0x18001bcc0","0.00319999","65587200","0.762987","ucrtbase.dll","func@0x18001bcc0","[Unknown]","0x18001bcc0"
"func@0x18004152e","0.00289999","68275200","0.771845","ntdll.dll","func@0x18004152e","[Unknown]","0x18004152e"
