"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"func@0x1800a5b00","0.000299999","0","0.5","cng.sys","func@0x1800a5b00","[Unknown]","0x1800a5b00"
"func@0x14026c040","0.000299999","2688000","0.157895","atc.sys","func@0x14026c040","[Unknown]","0x14026c040"
"func@0x1403a2260","0.000299999","0","0.125","ntoskrnl.exe","func@0x1403a2260","[Unknown]","0x1403a2260"
"func@0x140227496","0.000299999","0","0","ntoskrnl.exe","func@0x140227496","[Unknown]","0x140227496"
"MmMapLockedPagesSpecifyCache","0.000299999","0","","ntoskrnl.exe","MmMapLockedPagesSpecifyCache","[Unknown]","0x140294e30"
"KeEnterCriticalRegion","0.000299999","1612800","0.25","ntoskrnl.exe","KeEnterCriticalRegion","[Unknown]","0x14040bf80"
"func@0x1402be140","0.000299999","0","0.178571","ntoskrnl.exe","func@0x1402be140","[Unknown]","0x1402be140"
"stbiw__putc","0.000299999","4838400","0.111111","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x1400246f3"
"func@0x14023c95c","0.000299999","7526400","0.642857","ntoskrnl.exe","func@0x14023c95c","[Unknown]","0x14023c95c"
"func@0x140213710","0.000299999","10214400","0.307692","ntoskrnl.exe","func@0x140213710","[Unknown]","0x140213710"
"func@0x14026c7d0","0.000299999","1612800","0.178571","atc.sys","func@0x14026c7d0","[Unknown]","0x14026c7d0"
"FsRtlAcquireHeaderMutex","0.000299999","537600","0.75","ntoskrnl.exe","FsRtlAcquireHeaderMutex","[Unknown]","0x140312fd0"
"func@0x140227ad0","0.000299999","537600","0.25","ntoskrnl.exe","func@0x140227ad0","[Unknown]","0x140227ad0"
"stbi__addints_valid","0.000299999","8064000","0.45","kip_sequential_soa_profile.exe","stbi__addints_valid","stb_image.h","0x140021e8b"
"fread_nolock_s","0.000299999","537600","0","ucrtbase.dll","fread_nolock_s","[Unknown]","0x18001def0"
"func@0x1403619d0","0.000299999","537600","0.25","ntoskrnl.exe","func@0x1403619d0","[Unknown]","0x1403619d0"
"func@0x1402a6220","0.000299999","1612800","0.875","ntoskrnl.exe","func@0x1402a6220","[Unknown]","0x1402a6220"
"func@0x1404e01d0","0.000299999","0","0","ntoskrnl.exe","func@0x1404e01d0","[Unknown]","0x1404e01d0"
"func@0x14028451b","0.000199999","537600","0.2","ntoskrnl.exe","func@0x14028451b","[Unknown]","0x14028451b"
"func@0x14032eca3","0.000199999","3763200","0.8","ntoskrnl.exe","func@0x14032eca3","[Unknown]","0x14032eca3"
"func@0x14024ae29","0.000199999","4300800","0.75","ntoskrnl.exe","func@0x14024ae29","[Unknown]","0x14024ae29"
"NtReadFile","0.000199999","1075200","0.416667","ntdll.dll","NtReadFile","[Unknown]","0x180160430"
"func@0x1402c6b30","0.000199999","537600","0","ntoskrnl.exe","func@0x1402c6b30","[Unknown]","0x1402c6b30"
"func@0x1406b4410","0.000199999","0","0.166667","ntoskrnl.exe","func@0x1406b4410","[Unknown]","0x1406b4410"
"func@0x1400555c0","0.000199999","2150400","0.125","ntfs.sys","func@0x1400555c0","[Unknown]","0x1400555c0"
"func@0x14029ae48","0.000199999","1075200","0","ntoskrnl.exe","func@0x14029ae48","[Unknown]","0x14029ae48"
"func@0x1402d14a0","0.000199999","0","0","ntoskrnl.exe","func@0x1402d14a0","[Unknown]","0x1402d14a0"
"func@0x1402a72d1","0.000199999","0","0","ntoskrnl.exe","func@0x1402a72d1","[Unknown]","0x1402a72d1"
"func@0x14029f99c","0.000199999","3763200","0.55","ntoskrnl.exe","func@0x14029f99c","[Unknown]","0x14029f99c"
"func@0x1402bcd80","0.000199999","1075200","0.125","ntoskrnl.exe","func@0x1402bcd80","[Unknown]","0x1402bcd80"
"func@0x1402e8090","0.000199999","0","0","ntoskrnl.exe","func@0x1402e8090","[Unknown]","0x1402e8090"
"stbi__get8","0.000199999","0","0.25","kip_sequential_soa_profile.exe","stbi__get8","stb_image.h","0x140021b9f"
"func@0x1404e0fa8","0.000199999","0","0.2","ntoskrnl.exe","func@0x1404e0fa8","[Unknown]","0x1404e0fa8"
"func@0x140202630","0.000199999","2688000","0.25","ntoskrnl.exe","func@0x140202630","[Unknown]","0x140202630"
"RtlRestoreLastWin32Error","0.000199999","0","0.25","ntdll.dll","RtlRestoreLastWin32Error","[Unknown]","0x180048fd0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000199999","0","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14002656c"
"func@0x140364134","0.000199999","537600","0.0333333","ntoskrnl.exe","func@0x140364134","[Unknown]","0x140364134"
"func@0x140294f40","0.000199999","0","0","ntfs.sys","func@0x140294f40","[Unknown]","0x140294f40"
"func@0x14001d190","0.000199999","0","0","classpnp.sys","func@0x14001d190","[Unknown]","0x14001d190"
"func@0x140228c90","0.000199999","0","0.277778","ntoskrnl.exe","func@0x140228c90","[Unknown]","0x140228c90"
"func@0x1400cdb3f","0.000199999","0","0","nvlddmkm.sys","func@0x1400cdb3f","[Unknown]","0x1400cdb3f"
"func@0x1403ce8ef","0.000199999","0","0.5","ntoskrnl.exe","func@0x1403ce8ef","[Unknown]","0x1403ce8ef"
"stbiw__putc","0.000199999","2150400","0.357143","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x1400246d9"
"func@0x140418672","0.000199999","1612800","0.125","ntoskrnl.exe","func@0x140418672","[Unknown]","0x140418672"
"stbiw__putc","0.000199999","1075200","1","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x1400248db"
"func@0x140010520","0.000199999","1075200","0","ntfs.sys","func@0x140010520","[Unknown]","0x140010520"
"stbiw__jpg_writeBits","0.000199999","3763200","1","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024768"
"func@0x1406b4250","0.000199999","537600","0.166667","ntoskrnl.exe","func@0x1406b4250","[Unknown]","0x1406b4250"
"func@0x14022b530","0.000199999","0","0.25","ntoskrnl.exe","func@0x14022b530","[Unknown]","0x14022b530"
"func@0x140483740","0.000199999","0","0.5","igdkmdn64.sys","func@0x140483740","[Unknown]","0x140483740"
"func@0x140157aa0","0.000199999","0","0.333333","igdkmdn64.sys","func@0x140157aa0","[Unknown]","0x140157aa0"
"func@0x14029f310","0.000199999","1612800","0.142857","ntoskrnl.exe","func@0x14029f310","[Unknown]","0x14029f310"
"func@0x1402a50c0","0.000199999","1075200","0","ntoskrnl.exe","func@0x1402a50c0","[Unknown]","0x1402a50c0"
"func@0x1403281e0","0.000199999","0","0.0555556","igdkmdn64.sys","func@0x1403281e0","[Unknown]","0x1403281e0"
"func@0x14030c730","0.000199999","0","0","ntoskrnl.exe","func@0x14030c730","[Unknown]","0x14030c730"
"KeAcquireInStackQueuedSpinLock","0.000199999","1612800","0.2","ntoskrnl.exe","KeAcquireInStackQueuedSpinLock","[Unknown]","0x14034efc0"
"func@0x1402bea40","0.000199999","0","0","igdkmdn64.sys","func@0x1402bea40","[Unknown]","0x1402bea40"
"func@0x140241e6e","0.000199999","537600","1","ntoskrnl.exe","func@0x140241e6e","[Unknown]","0x140241e6e"
"func@0x14023c870","0.000199999","1612800","0.173913","ntoskrnl.exe","func@0x14023c870","[Unknown]","0x14023c870"
"func@0x1405ea707","0.000199999","537600","0.5","atc.sys","func@0x1405ea707","[Unknown]","0x1405ea707"
"func@0x140616d00","0.000199999","0","0.25","atc.sys","func@0x140616d00","[Unknown]","0x140616d00"
"func@0x140235d5a","0.000199999","0","0","ntoskrnl.exe","func@0x140235d5a","[Unknown]","0x140235d5a"
"func@0x14041bab0","0.000199999","3763200","0.428571","ntoskrnl.exe","func@0x14041bab0","[Unknown]","0x14041bab0"
"func@0x1405f06e0","0.000199999","2150400","0.166667","atc.sys","func@0x1405f06e0","[Unknown]","0x1405f06e0"
"func@0x140404920","0.000199999","537600","0.5","atc.sys","func@0x140404920","[Unknown]","0x140404920"
"func@0x14023a5c0","0.000199999","0","1","atc.sys","func@0x14023a5c0","[Unknown]","0x14023a5c0"
"func@0x1401958c0","0.000199999","537600","0","atc.sys","func@0x1401958c0","[Unknown]","0x1401958c0"
"func@0x1400b6a00","0.000199999","0","0.25","atc.sys","func@0x1400b6a00","[Unknown]","0x1400b6a00"
"func@0x140330830","0.000199999","2688000","0.583333","ntoskrnl.exe","func@0x140330830","[Unknown]","0x140330830"
"func@0x1402e5ba0","0.000199999","1075200","0.166667","atc.sys","func@0x1402e5ba0","[Unknown]","0x1402e5ba0"
"func@0x1405eee00","0.000199999","4838400","0.233333","atc.sys","func@0x1405eee00","[Unknown]","0x1405eee00"
"func@0x1402a06c0","0.000199999","1075200","1","ntoskrnl.exe","func@0x1402a06c0","[Unknown]","0x1402a06c0"
"func@0x140329f60","0.000199999","0","0.125","ntoskrnl.exe","func@0x140329f60","[Unknown]","0x140329f60"
"func@0x140320e00","0.000199999","0","0","atc.sys","func@0x140320e00","[Unknown]","0x140320e00"
"func@0x1403cd100","0.000199999","2150400","0.181818","ntoskrnl.exe","func@0x1403cd100","[Unknown]","0x1403cd100"
"func@0x14029fac0","0.000199999","0","0.178571","ntoskrnl.exe","func@0x14029fac0","[Unknown]","0x14029fac0"
"func@0x1406ae580","0.000199999","0","0.142857","ntoskrnl.exe","func@0x1406ae580","[Unknown]","0x1406ae580"
"func@0x1403e8fc3","0.000199999","537600","0.1875","ntoskrnl.exe","func@0x1403e8fc3","[Unknown]","0x1403e8fc3"
"ExReleaseSpinLockShared","0.000199999","0","0.153846","ntoskrnl.exe","ExReleaseSpinLockShared","[Unknown]","0x140219330"
"func@0x283d0","0.000199999","0","0","sepdrv5.sys","func@0x283d0","[Unknown]","0x283d0"
"func@0x1800554a0","0.000199999","1612800","0.2","ntdll.dll","func@0x1800554a0","[Unknown]","0x1800554a0"
"RtlAnsiCharToUnicodeChar","0.000199999","537600","0.1875","ntdll.dll","RtlAnsiCharToUnicodeChar","[Unknown]","0x1800bd8a0"
"stbi__jpeg_finish","0.000199999","6451200","0.3","kip_sequential_soa_profile.exe","stbi__jpeg_finish","stb_image.h","0x140013a23"
"WriteFile","0.000199999","0","0.25","kernelbase.dll","WriteFile","[Unknown]","0x1800b01e0"
"func@0x14027f340","0.000199999","537600","0","ntoskrnl.exe","func@0x14027f340","[Unknown]","0x14027f340"
"EntropyProvideData","0.000199999","0","0","cng.sys","EntropyProvideData","[Unknown]","0x18002e130"
"func@0x14031c530","0.000199999","1075200","0.1875","ntoskrnl.exe","func@0x14031c530","[Unknown]","0x14031c530"
"func@0x1402f5bf0","0.000199999","1075200","0","ntoskrnl.exe","func@0x1402f5bf0","[Unknown]","0x1402f5bf0"
"func@0x14027c530","0.000199999","1075200","0.333333","ntoskrnl.exe","func@0x14027c530","[Unknown]","0x14027c530"
"FltReleasePushLock","0.000199999","0","0","fltmgr.sys","FltReleasePushLock","[Unknown]","0x1800141e0"
"FltGetStreamContext","0.000199999","537600","0.75","fltmgr.sys","FltGetStreamContext","[Unknown]","0x1800091a0"
"func@0x1800064b0","0.000199999","1075200","0.214286","fltmgr.sys","func@0x1800064b0","[Unknown]","0x1800064b0"
"fread_s","0.000199999","2419200","0.0833333","ucrtbase.dll","fread_s","[Unknown]","0x18001de30"
"func@0x14045a530","0.000199999","0","0","ntoskrnl.exe","func@0x14045a530","[Unknown]","0x14045a530"
"func@0x14002e700","0.000199999","0","0","dxgkrnl.sys","func@0x14002e700","[Unknown]","0x14002e700"
"FltReleaseContext","0.000199999","1612800","0.2","fltmgr.sys","FltReleaseContext","[Unknown]","0x180003820"
"func@0x14040a6b1","0.000199999","537600","0","ntoskrnl.exe","func@0x14040a6b1","[Unknown]","0x14040a6b1"
"func@0x14032aca0","0.000199999","537600","0.2","ntoskrnl.exe","func@0x14032aca0","[Unknown]","0x14032aca0"
"func@0x140239838","0.000199999","0","0","ntoskrnl.exe","func@0x140239838","[Unknown]","0x140239838"
"func@0x1403108f0","0.000199999","537600","0","ntoskrnl.exe","func@0x1403108f0","[Unknown]","0x1403108f0"
"func@0x1402a6d30","0.000199999","0","0.125","ntoskrnl.exe","func@0x1402a6d30","[Unknown]","0x1402a6d30"
"func@0x1402a6250","0.000199999","537600","0.1","ntoskrnl.exe","func@0x1402a6250","[Unknown]","0x1402a6250"
"func@0x1404e53a0","0.000199999","0","","ntoskrnl.exe","func@0x1404e53a0","[Unknown]","0x1404e53a0"
"func@0x140240a60","0.000199999","0","0","ntoskrnl.exe","func@0x140240a60","[Unknown]","0x140240a60"
"func@0x1402c6f30","0.000199999","0","0.0833333","ntoskrnl.exe","func@0x1402c6f30","[Unknown]","0x1402c6f30"
"EtwWriteEx","9.99996e-05","0","0.125","ntoskrnl.exe","EtwWriteEx","[Unknown]","0x14027f420"
"func@0x140364d20","9.99996e-05","0","0","ntoskrnl.exe","func@0x140364d20","[Unknown]","0x140364d20"
"func@0x140311970","9.99996e-05","0","0.1","ntoskrnl.exe","func@0x140311970","[Unknown]","0x140311970"
"func@0x14042ee00","9.99996e-05","2150400","0.428571","ntoskrnl.exe","func@0x14042ee00","[Unknown]","0x14042ee00"
"func@0x14029a400","9.99996e-05","0","0","ntoskrnl.exe","func@0x14029a400","[Unknown]","0x14029a400"
"func@0x1402fb450","9.99996e-05","537600","0","ntoskrnl.exe","func@0x1402fb450","[Unknown]","0x1402fb450"
"func@0x140314f30","9.99996e-05","1612800","0.428571","ntoskrnl.exe","func@0x140314f30","[Unknown]","0x140314f30"
"func@0x14030fd30","9.99996e-05","0","0.0909091","ntoskrnl.exe","func@0x14030fd30","[Unknown]","0x14030fd30"
"func@0x1402129c8","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402129c8","[Unknown]","0x1402129c8"
"func@0x14025fdb0","9.99996e-05","0","0","ntoskrnl.exe","func@0x14025fdb0","[Unknown]","0x14025fdb0"
"func@0x14026bea7","9.99996e-05","0","0","ntoskrnl.exe","func@0x14026bea7","[Unknown]","0x14026bea7"
"RtlNumberOfSetBitsEx","9.99996e-05","0","","ntoskrnl.exe","RtlNumberOfSetBitsEx","[Unknown]","0x14040ad60"
"func@0x140326bc8","9.99996e-05","0","","ntoskrnl.exe","func@0x140326bc8","[Unknown]","0x140326bc8"
"func@0x1402ff500","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402ff500","[Unknown]","0x1402ff500"
"func@0x14040f380","9.99996e-05","0","0","ntoskrnl.exe","func@0x14040f380","[Unknown]","0x14040f380"
"ExAcquireRundownProtectionCacheAware","9.99996e-05","0","0","ntoskrnl.exe","ExAcquireRundownProtectionCacheAware","[Unknown]","0x1402387b0"
"FsRtlReleaseEofLock","9.99996e-05","0","0.125","ntoskrnl.exe","FsRtlReleaseEofLock","[Unknown]","0x1402d6110"
"func@0x140919de0","9.99996e-05","0","0","ntoskrnl.exe","func@0x140919de0","[Unknown]","0x140919de0"
"KeLeaveGuardedRegion","9.99996e-05","0","0","ntoskrnl.exe","KeLeaveGuardedRegion","[Unknown]","0x1403583a0"
"MmUnmapLockedPages","9.99996e-05","0","0","ntoskrnl.exe","MmUnmapLockedPages","[Unknown]","0x140292e00"
"func@0x1402a8320","9.99996e-05","0","0.333333","ntoskrnl.exe","func@0x1402a8320","[Unknown]","0x1402a8320"
"func@0x1402fe64c","9.99996e-05","3763200","","ntoskrnl.exe","func@0x1402fe64c","[Unknown]","0x1402fe64c"
"func@0x1402a3710","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402a3710","[Unknown]","0x1402a3710"
"func@0x14092321c","9.99996e-05","0","0","ntoskrnl.exe","func@0x14092321c","[Unknown]","0x14092321c"
"func@0x140234e30","9.99996e-05","537600","0.5","ntoskrnl.exe","func@0x140234e30","[Unknown]","0x140234e30"
"func@0x140221a80","9.99996e-05","0","0","ntoskrnl.exe","func@0x140221a80","[Unknown]","0x140221a80"
"func@0x140919ef0","9.99996e-05","0","0","ntoskrnl.exe","func@0x140919ef0","[Unknown]","0x140919ef0"
"EtwEventEnabled","9.99996e-05","1075200","0.2","ntoskrnl.exe","EtwEventEnabled","[Unknown]","0x1402c6ad0"
"func@0x1404de0cc","9.99996e-05","1075200","0.5","ntoskrnl.exe","func@0x1404de0cc","[Unknown]","0x1404de0cc"
"func@0x140387fb8","9.99996e-05","0","","ntoskrnl.exe","func@0x140387fb8","[Unknown]","0x140387fb8"
"func@0x1409478c0","9.99996e-05","0","0","nvlddmkm.sys","func@0x1409478c0","[Unknown]","0x1409478c0"
"func@0x14029229c","9.99996e-05","0","0","ntoskrnl.exe","func@0x14029229c","[Unknown]","0x14029229c"
"func@0x140878660","9.99996e-05","0","0","ntoskrnl.exe","func@0x140878660","[Unknown]","0x140878660"
"func@0x1403afd50","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403afd50","[Unknown]","0x1403afd50"
"KeCountSetBitsAffinityEx","9.99996e-05","537600","0.25","ntoskrnl.exe","KeCountSetBitsAffinityEx","[Unknown]","0x1403ab190"
"func@0x140241100","9.99996e-05","0","0.25","ntoskrnl.exe","func@0x140241100","[Unknown]","0x140241100"
"func@0x14042dc50","9.99996e-05","0","0.166667","ntoskrnl.exe","func@0x14042dc50","[Unknown]","0x14042dc50"
"func@0x140970d75","9.99996e-05","0","0","ntoskrnl.exe","func@0x140970d75","[Unknown]","0x140970d75"
"func@0x1402a6cb8","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402a6cb8","[Unknown]","0x1402a6cb8"
"func@0x14064d928","9.99996e-05","0","0.1","ntoskrnl.exe","func@0x14064d928","[Unknown]","0x14064d928"
"func@0x1402a7d00","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402a7d00","[Unknown]","0x1402a7d00"
"func@0x140437850","9.99996e-05","0","0","ntoskrnl.exe","func@0x140437850","[Unknown]","0x140437850"
"KeAddProcessorAffinityEx","9.99996e-05","537600","0","ntoskrnl.exe","KeAddProcessorAffinityEx","[Unknown]","0x14027ced0"
"KeIsEmptyAffinityEx","9.99996e-05","2150400","0.357143","ntoskrnl.exe","KeIsEmptyAffinityEx","[Unknown]","0x140367180"
"func@0x1403e7670","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403e7670","[Unknown]","0x1403e7670"
"func@0x1403c4920","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403c4920","[Unknown]","0x1403c4920"
"func@0x140299e00","9.99996e-05","1075200","0","ntoskrnl.exe","func@0x140299e00","[Unknown]","0x140299e00"
"func@0x14029c9c0","9.99996e-05","0","0","ntoskrnl.exe","func@0x14029c9c0","[Unknown]","0x14029c9c0"
"func@0x1403635c0","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403635c0","[Unknown]","0x1403635c0"
"func@0x14030fd80","9.99996e-05","1075200","0.3","ntoskrnl.exe","func@0x14030fd80","[Unknown]","0x14030fd80"
"func@0x1405df2d4","9.99996e-05","0","0.5","ntoskrnl.exe","func@0x1405df2d4","[Unknown]","0x1405df2d4"
"func@0x14025bd9d","9.99996e-05","0","","ntoskrnl.exe","func@0x14025bd9d","[Unknown]","0x14025bd9d"
"func@0x14023043c","9.99996e-05","0","0","ntoskrnl.exe","func@0x14023043c","[Unknown]","0x14023043c"
"func@0x1403ae130","9.99996e-05","0","","ntoskrnl.exe","func@0x1403ae130","[Unknown]","0x1403ae130"
"func@0x1406b4330","9.99996e-05","0","0","ntoskrnl.exe","func@0x1406b4330","[Unknown]","0x1406b4330"
"func@0x1408a67f0","9.99996e-05","0","0","ntoskrnl.exe","func@0x1408a67f0","[Unknown]","0x1408a67f0"
"KeGetCurrentIrql","9.99996e-05","537600","0","ntoskrnl.exe","KeGetCurrentIrql","[Unknown]","0x140416cd0"
"func@0x14030b5c5","9.99996e-05","0","0","ntoskrnl.exe","func@0x14030b5c5","[Unknown]","0x14030b5c5"
"func@0x1402402c0","9.99996e-05","537600","0.0333333","ntoskrnl.exe","func@0x1402402c0","[Unknown]","0x1402402c0"
"ExAcquireSpinLockExclusive","9.99996e-05","0","0.2","ntoskrnl.exe","ExAcquireSpinLockExclusive","[Unknown]","0x1402947b0"
"func@0x1402a36b0","9.99996e-05","537600","0","ntoskrnl.exe","func@0x1402a36b0","[Unknown]","0x1402a36b0"
"FsRtlRemoveExtraCreateParameter","9.99996e-05","0","0","ntoskrnl.exe","FsRtlRemoveExtraCreateParameter","[Unknown]","0x14098aa10"
"PsGetProcessId","9.99996e-05","0","0","ntoskrnl.exe","PsGetProcessId","[Unknown]","0x14042b160"
"KePulseEvent","9.99996e-05","0","0","ntoskrnl.exe","KePulseEvent","[Unknown]","0x140461280"
"func@0x1402a5490","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402a5490","[Unknown]","0x1402a5490"
"func@0x1402d5200","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402d5200","[Unknown]","0x1402d5200"
"ExReleaseSpinLockSharedFromDpcLevel","9.99996e-05","1075200","0.166667","ntoskrnl.exe","ExReleaseSpinLockSharedFromDpcLevel","[Unknown]","0x14032f7e0"
"func@0x14020a640","9.99996e-05","1075200","0","ntoskrnl.exe","func@0x14020a640","[Unknown]","0x14020a640"
"func@0x1404e5cd0","9.99996e-05","0","0","ntoskrnl.exe","func@0x1404e5cd0","[Unknown]","0x1404e5cd0"
"func@0x140298c96","9.99996e-05","0","0","ntoskrnl.exe","func@0x140298c96","[Unknown]","0x140298c96"
"func@0x1402beaf0","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402beaf0","[Unknown]","0x1402beaf0"
"func@0x14028f200","9.99996e-05","0","0","ntoskrnl.exe","func@0x14028f200","[Unknown]","0x14028f200"
"func@0x1403c8300","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403c8300","[Unknown]","0x1403c8300"
"func@0x14035a04a","9.99996e-05","0","0","ntoskrnl.exe","func@0x14035a04a","[Unknown]","0x14035a04a"
"func@0x1403c2dd0","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403c2dd0","[Unknown]","0x1403c2dd0"
"func@0x140291a83","9.99996e-05","0","0","ntoskrnl.exe","func@0x140291a83","[Unknown]","0x140291a83"
"func@0x1403eb690","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403eb690","[Unknown]","0x1403eb690"
"func@0x140252b44","9.99996e-05","0","0.25","ntoskrnl.exe","func@0x140252b44","[Unknown]","0x140252b44"
"func@0x1404e02d9","9.99996e-05","0","0","ntoskrnl.exe","func@0x1404e02d9","[Unknown]","0x1404e02d9"
"func@0x1402990b0","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402990b0","[Unknown]","0x1402990b0"
"func@0x14023ffe8","9.99996e-05","537600","0","ntoskrnl.exe","func@0x14023ffe8","[Unknown]","0x14023ffe8"
"func@0x1402f7772","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402f7772","[Unknown]","0x1402f7772"
"func@0x1408bfafa","9.99996e-05","0","0","ntoskrnl.exe","func@0x1408bfafa","[Unknown]","0x1408bfafa"
"func@0x140269560","9.99996e-05","0","0","ntoskrnl.exe","func@0x140269560","[Unknown]","0x140269560"
"func@0x1404480cc","9.99996e-05","0","0.142857","ntoskrnl.exe","func@0x1404480cc","[Unknown]","0x1404480cc"
"func@0x140279dd7","9.99996e-05","0","0","ntoskrnl.exe","func@0x140279dd7","[Unknown]","0x140279dd7"
"func@0x140355f50","9.99996e-05","537600","0","ntoskrnl.exe","func@0x140355f50","[Unknown]","0x140355f50"
"func@0x1409350e3","9.99996e-05","537600","0.1","ntoskrnl.exe","func@0x1409350e3","[Unknown]","0x1409350e3"
"KeRcuReadUnlock","9.99996e-05","0","0","ntoskrnl.exe","KeRcuReadUnlock","[Unknown]","0x14040eff0"
"func@0x14041b940","9.99996e-05","0","0.25","ntoskrnl.exe","func@0x14041b940","[Unknown]","0x14041b940"
"func@0x140295e70","9.99996e-05","0","","ntoskrnl.exe","func@0x140295e70","[Unknown]","0x140295e70"
"func@0x1404014c0","9.99996e-05","1075200","","ntoskrnl.exe","func@0x1404014c0","[Unknown]","0x1404014c0"
"func@0x140320455","9.99996e-05","537600","","ntoskrnl.exe","func@0x140320455","[Unknown]","0x140320455"
"func@0x14030b490","9.99996e-05","0","0","ntoskrnl.exe","func@0x14030b490","[Unknown]","0x14030b490"
"func@0x1402ce820","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402ce820","[Unknown]","0x1402ce820"
"func@0x14025c270","9.99996e-05","0","0","ntoskrnl.exe","func@0x14025c270","[Unknown]","0x14025c270"
"func@0x1403cebba","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403cebba","[Unknown]","0x1403cebba"
"func@0x14033ef40","9.99996e-05","0","0","ntoskrnl.exe","func@0x14033ef40","[Unknown]","0x14033ef40"
"func@0x1403db639","9.99996e-05","0","0","ntoskrnl.exe","func@0x1403db639","[Unknown]","0x1403db639"
"NtWriteFile","9.99996e-05","0","0","ntoskrnl.exe","NtWriteFile","[Unknown]","0x1408bfa70"
"func@0x1404d684b","9.99996e-05","0","0.5","ntoskrnl.exe","func@0x1404d684b","[Unknown]","0x1404d684b"
"func@0x140391750","9.99996e-05","0","0","ntoskrnl.exe","func@0x140391750","[Unknown]","0x140391750"
"func@0x140292030","9.99996e-05","537600","0.5","ntoskrnl.exe","func@0x140292030","[Unknown]","0x140292030"
"func@0x14022b999","9.99996e-05","0","","ntoskrnl.exe","func@0x14022b999","[Unknown]","0x14022b999"
"ExAcquireFastMutex","9.99996e-05","1612800","0.416667","ntoskrnl.exe","ExAcquireFastMutex","[Unknown]","0x140313530"
"func@0x1402961b4","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402961b4","[Unknown]","0x1402961b4"
"func@0x1402090f0","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402090f0","[Unknown]","0x1402090f0"
"func@0x1402a07f9","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402a07f9","[Unknown]","0x1402a07f9"
"func@0x140395df1","9.99996e-05","0","0","ntoskrnl.exe","func@0x140395df1","[Unknown]","0x140395df1"
"func@0x1402f66f0","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402f66f0","[Unknown]","0x1402f66f0"
"PfFileInfoNotify","9.99996e-05","0","0.166667","ntoskrnl.exe","PfFileInfoNotify","[Unknown]","0x140229fc0"
"func@0x140848c33","9.99996e-05","0","0.333333","ntoskrnl.exe","func@0x140848c33","[Unknown]","0x140848c33"
"MmUnlockPages","9.99996e-05","537600","0.333333","ntoskrnl.exe","MmUnlockPages","[Unknown]","0x14025ed20"
"func@0x140208168","9.99996e-05","0","0.5","ntoskrnl.exe","func@0x140208168","[Unknown]","0x140208168"
"func@0x1402b854f","9.99996e-05","537600","0.5","ntoskrnl.exe","func@0x1402b854f","[Unknown]","0x1402b854f"
"CcCopyReadEx","9.99996e-05","0","0","ntoskrnl.exe","CcCopyReadEx","[Unknown]","0x1404d5420"
"func@0x1402cf72c","9.99996e-05","0","0.25","ntoskrnl.exe","func@0x1402cf72c","[Unknown]","0x1402cf72c"
"func@0x1402262a0","9.99996e-05","0","0.5","ntoskrnl.exe","func@0x1402262a0","[Unknown]","0x1402262a0"
"KeQueryPerformanceCounter","9.99996e-05","0","0","ntoskrnl.exe","KeQueryPerformanceCounter","[Unknown]","0x140363710"
"func@0x1402ff770","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402ff770","[Unknown]","0x1402ff770"
"ObfReferenceObjectWithTag","9.99996e-05","0","0","ntoskrnl.exe","ObfReferenceObjectWithTag","[Unknown]","0x1403150c0"
"func@0x1402ca9c0","9.99996e-05","537600","0.25","ntoskrnl.exe","func@0x1402ca9c0","[Unknown]","0x1402ca9c0"
"func@0x1402a82ff","9.99996e-05","0","0","ntoskrnl.exe","func@0x1402a82ff","[Unknown]","0x1402a82ff"
