"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Stores Bound","Load Bound","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"func@0x1404457a0","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1404457a0","[Unknown]","0x1404457a0"
"func@0x140252b44","9.99996e-05","268800","537600","0.5","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140252b44","[Unknown]","0x140252b44"
"func@0x1403281e0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","igdkmdn64.sys","func@0x1403281e0","[Unknown]","0x1403281e0"
"func@0x140400787","9.99996e-05","0","0","0","0","","","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140400787","[Unknown]","0x140400787"
"func@0x14049d248","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14049d248","[Unknown]","0x14049d248"
"func@0x140239310","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x140239310","[Unknown]","0x140239310"
"func@0x140311970","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140311970","[Unknown]","0x140311970"
"func@0x1402a5490","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402a5490","[Unknown]","0x1402a5490"
"func@0x14012fb90","9.99996e-05","806400","537600","1.5","0","","","0","0","0","0","0","0","0","8.06403e+09","igdkmdn64.sys","func@0x14012fb90","[Unknown]","0x14012fb90"
"func@0x1402c01e0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402c01e0","[Unknown]","0x1402c01e0"
"FsRtlIsPagingFile","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","FsRtlIsPagingFile","[Unknown]","0x140419630"
"func@0x140046700","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140046700","[Unknown]","0x140046700"
"func@0x1402378ca","9.99996e-05","537600","537600","1","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402378ca","[Unknown]","0x1402378ca"
"func@0x14003e4f0","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","igdkmdn64.sys","func@0x14003e4f0","[Unknown]","0x14003e4f0"
"IoWithinStackLimits","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","IoWithinStackLimits","[Unknown]","0x1403f9a10"
"func@0x1402bea40","9.99996e-05","1612800","0","","0","","","0","0","0","0","0","0","0","1.61281e+10","igdkmdn64.sys","func@0x1402bea40","[Unknown]","0x1402bea40"
"func@0x140023200","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140023200","[Unknown]","0x140023200"
"func@0x140328260","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140328260","[Unknown]","0x140328260"
"ExAcquireAutoExpandPushLockExclusive","9.99996e-05","0","0","0","","0","","0","0","0","0","0","0","0","0","ntoskrnl.exe","ExAcquireAutoExpandPushLockExclusive","[Unknown]","0x1403131a0"
"func@0x140a0b6a4","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140a0b6a4","[Unknown]","0x140a0b6a4"
"func@0x1402a6843","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402a6843","[Unknown]","0x1402a6843"
"func@0x1402a82ff","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402a82ff","[Unknown]","0x1402a82ff"
"func@0x1404480cc","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1404480cc","[Unknown]","0x1404480cc"
"func@0x1403af7a0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1403af7a0","[Unknown]","0x1403af7a0"
"func@0x14044f3b0","9.99996e-05","0","0","0","0","","","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14044f3b0","[Unknown]","0x14044f3b0"
"func@0x14028edf0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14028edf0","[Unknown]","0x14028edf0"
"func@0x1406b4d30","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1406b4d30","[Unknown]","0x1406b4d30"
"func@0x1402feccf","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402feccf","[Unknown]","0x1402feccf"
"func@0x1402931e0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402931e0","[Unknown]","0x1402931e0"
"func@0x140316093","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140316093","[Unknown]","0x140316093"
"func@0x14029d84b","9.99996e-05","268800","0","","0","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14029d84b","[Unknown]","0x14029d84b"
"func@0x14084f340","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14084f340","[Unknown]","0x14084f340"
"func@0x1402bcfd8","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402bcfd8","[Unknown]","0x1402bcfd8"
"func@0x140240a60","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140240a60","[Unknown]","0x140240a60"
"func@0x140206e50","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140206e50","[Unknown]","0x140206e50"
"func@0x14042ee00","9.99996e-05","537600","537600","1","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14042ee00","[Unknown]","0x14042ee00"
"func@0x1403c1580","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403c1580","[Unknown]","0x1403c1580"
"func@0x1409067d0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1409067d0","[Unknown]","0x1409067d0"
"func@0x14032b5f0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14032b5f0","[Unknown]","0x14032b5f0"
"func@0x14032eca3","9.99996e-05","268800","537600","0.5","","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14032eca3","[Unknown]","0x14032eca3"
"func@0x140285b30","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140285b30","[Unknown]","0x140285b30"
"PfFileInfoNotify","9.99996e-05","0","0","0","0","","","0","0","0","0","0","0","0","0","ntoskrnl.exe","PfFileInfoNotify","[Unknown]","0x140229fc0"
"func@0x1402c6f30","9.99996e-05","537600","1075200","0.5","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402c6f30","[Unknown]","0x1402c6f30"
"func@0x1402262a0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402262a0","[Unknown]","0x1402262a0"
"func@0x140250d34","9.99996e-05","537600","537600","1","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x140250d34","[Unknown]","0x140250d34"
"func@0x1402138b1","9.99996e-05","1344000","0","","0","0","1","0","0","0","0","0","0","0","1.34401e+10","ntoskrnl.exe","func@0x1402138b1","[Unknown]","0x1402138b1"
"func@0x1406b4410","9.99996e-05","806400","0","","0","","","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","func@0x1406b4410","[Unknown]","0x1406b4410"
"func@0x140896d78","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140896d78","[Unknown]","0x140896d78"
"func@0x1404e25d8","9.99996e-05","0","537600","0","0","0.05","0.95","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404e25d8","[Unknown]","0x1404e25d8"
"func@0x1408420d5","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1408420d5","[Unknown]","0x1408420d5"
"func@0x1403016f0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403016f0","[Unknown]","0x1403016f0"
"func@0x14033a3e0","9.99996e-05","806400","4300800","0.1875","0","0","1","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","func@0x14033a3e0","[Unknown]","0x14033a3e0"
"func@0x1406ae580","9.99996e-05","1075200","0","","0","0","1","0","0","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","func@0x1406ae580","[Unknown]","0x1406ae580"
"func@0x140250076","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140250076","[Unknown]","0x140250076"
"func@0x140258630","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x140258630","[Unknown]","0x140258630"
"IoGetRequestorProcess","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","IoGetRequestorProcess","[Unknown]","0x1403c81f0"
"func@0x140846430","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140846430","[Unknown]","0x140846430"
"KeAcquireSpinLockRaiseToDpc","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","KeAcquireSpinLockRaiseToDpc","[Unknown]","0x14027a8c0"
"func@0x14040a6b1","9.99996e-05","806400","537600","1.5","0","0","1","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","func@0x14040a6b1","[Unknown]","0x14040a6b1"
"func@0x14028e6b0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14028e6b0","[Unknown]","0x14028e6b0"
"func@0x140343d40","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140343d40","[Unknown]","0x140343d40"
"func@0x14033aac2","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14033aac2","[Unknown]","0x14033aac2"
"func@0x14022ae00","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14022ae00","[Unknown]","0x14022ae00"
"func@0x140855427","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140855427","[Unknown]","0x140855427"
"KeAddGroupAffinityEx","9.99996e-05","0","537600","0","0","","","0","0","0","0","0","0","0","0","ntoskrnl.exe","KeAddGroupAffinityEx","[Unknown]","0x14027cea0"
"func@0x1402a3600","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402a3600","[Unknown]","0x1402a3600"
"func@0x1408489e0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1408489e0","[Unknown]","0x1408489e0"
"func@0x1404e0010","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404e0010","[Unknown]","0x1404e0010"
"func@0x1402272f0","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402272f0","[Unknown]","0x1402272f0"
"func@0x14031f8ac","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14031f8ac","[Unknown]","0x14031f8ac"
"func@0x140326bc8","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x140326bc8","[Unknown]","0x140326bc8"
"func@0x14029ae48","9.99996e-05","806400","0","","0","0","1","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","func@0x14029ae48","[Unknown]","0x14029ae48"
"func@0x14030fd53","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14030fd53","[Unknown]","0x14030fd53"
"func@0x140239838","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140239838","[Unknown]","0x140239838"
"func@0x140323720","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140323720","[Unknown]","0x140323720"
"func@0x14027f360","9.99996e-05","537600","0","","0","","","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14027f360","[Unknown]","0x14027f360"
"func@0x14029ef34","9.99996e-05","537600","1612800","0.333333","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14029ef34","[Unknown]","0x14029ef34"
"func@0x1403de9e0","9.99996e-05","537600","537600","1","0","","","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1403de9e0","[Unknown]","0x1403de9e0"
"func@0x140607d00","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x140607d00","[Unknown]","0x140607d00"
"func@0x140298c96","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140298c96","[Unknown]","0x140298c96"
"func@0x1400ba940","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x1400ba940","[Unknown]","0x1400ba940"
"func@0x1402e4a4c","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x1402e4a4c","[Unknown]","0x1402e4a4c"
"ExAcquireResourceExclusiveLite","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","ExAcquireResourceExclusiveLite","[Unknown]","0x14022b760"
"func@0x140600020","9.99996e-05","1075200","0","","0","0","1","0","0","0","0","0","0","0","1.0752e+10","atc.sys","func@0x140600020","[Unknown]","0x140600020"
"func@0x1401c3580","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x1401c3580","[Unknown]","0x1401c3580"
"ExReleaseRundownProtectionCacheAware","9.99996e-05","806400","0","","0","","","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","ExReleaseRundownProtectionCacheAware","[Unknown]","0x14022ab80"
"func@0x1400ba320","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x1400ba320","[Unknown]","0x1400ba320"
"KeEnterCriticalRegion","9.99996e-05","268800","537600","0.5","0","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","KeEnterCriticalRegion","[Unknown]","0x14040bf80"
"func@0x1403d8e14","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403d8e14","[Unknown]","0x1403d8e14"
"func@0x1402e6f20","9.99996e-05","268800","537600","0.5","0","0","1","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x1402e6f20","[Unknown]","0x1402e6f20"
"EtwEventEnabled","9.99996e-05","806400","537600","1.5","0","","","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","EtwEventEnabled","[Unknown]","0x1402c6ad0"
"func@0x14047da60","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x14047da60","[Unknown]","0x14047da60"
"func@0x1405df32c","9.99996e-05","268800","537600","0.5","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1405df32c","[Unknown]","0x1405df32c"
"func@0x14027ae90","9.99996e-05","806400","0","","","0","","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","func@0x14027ae90","[Unknown]","0x14027ae90"
"func@0x14041917c","9.99996e-05","0","1075200","0","0","","","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14041917c","[Unknown]","0x14041917c"
"func@0x140416100","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x140416100","[Unknown]","0x140416100"
"func@0x1403e77a4","9.99996e-05","268800","0","","0","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1403e77a4","[Unknown]","0x1403e77a4"
"func@0x140202630","9.99996e-05","268800","1075200","0.25","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140202630","[Unknown]","0x140202630"
"func@0x140210014","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140210014","[Unknown]","0x140210014"
"func@0x1402a1ad0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402a1ad0","[Unknown]","0x1402a1ad0"
"func@0x140393e20","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x140393e20","[Unknown]","0x140393e20"
"func@0x140364134","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140364134","[Unknown]","0x140364134"
"func@0x14032aca0","9.99996e-05","0","0","0","0","","","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14032aca0","[Unknown]","0x14032aca0"
"func@0x140279bb0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140279bb0","[Unknown]","0x140279bb0"
"func@0x14026c440","9.99996e-05","537600","1075200","0.5","0","","","0","0","0","0","0","0","0","5.37602e+09","atc.sys","func@0x14026c440","[Unknown]","0x14026c440"
"func@0x14097659d","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14097659d","[Unknown]","0x14097659d"
"func@0x1403d5c00","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x1403d5c00","[Unknown]","0x1403d5c00"
"func@0x1404163e0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x1404163e0","[Unknown]","0x1404163e0"
"func@0x1402bee71","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402bee71","[Unknown]","0x1402bee71"
"IoGetStackLimits","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","IoGetStackLimits","[Unknown]","0x140236ae0"
"func@0x1403c5e90","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403c5e90","[Unknown]","0x1403c5e90"
"ObfReferenceObjectWithTag","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","ObfReferenceObjectWithTag","[Unknown]","0x1403150c0"
"func@0x140410180","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x140410180","[Unknown]","0x140410180"
"func@0x1403fe97f","9.99996e-05","537600","537600","1","0","0","1","0","0","0","0","0","0","0","5.37602e+09","atc.sys","func@0x1403fe97f","[Unknown]","0x1403fe97f"
"func@0x14024de1d","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14024de1d","[Unknown]","0x14024de1d"
"func@0x1403f4d40","9.99996e-05","537600","0","","0","","","0","0","0","0","0","0","0","5.37602e+09","atc.sys","func@0x1403f4d40","[Unknown]","0x1403f4d40"
"func@0x14037f840","9.99996e-05","268800","537600","0.5","0","0","1","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x14037f840","[Unknown]","0x14037f840"
"func@0x140482698","9.99996e-05","268800","537600","0.5","0","","","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x140482698","[Unknown]","0x140482698"
"func@0x14027f340","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14027f340","[Unknown]","0x14027f340"
"func@0x1402e5b00","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x1402e5b00","[Unknown]","0x1402e5b00"
"func@0x140320250","9.99996e-05","806400","4300800","0.1875","0","0","1","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","func@0x140320250","[Unknown]","0x140320250"
"func@0x1401f2ba0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x1401f2ba0","[Unknown]","0x1401f2ba0"
"ExAcquireRundownProtectionCacheAware","9.99996e-05","1075200","1612800","0.666667","0","","","0","0","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","ExAcquireRundownProtectionCacheAware","[Unknown]","0x1402387b0"
"func@0x140416c82","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140416c82","[Unknown]","0x140416c82"
"func@0x1400b694c","9.99996e-05","1344000","537600","2.5","0","0","1","0","0","0","0","0","0","0","1.34401e+10","atc.sys","func@0x1400b694c","[Unknown]","0x1400b694c"
"func@0x1403ba0e0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x1403ba0e0","[Unknown]","0x1403ba0e0"
"func@0x14023cf64","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14023cf64","[Unknown]","0x14023cf64"
"func@0x140382c48","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x140382c48","[Unknown]","0x140382c48"
"func@0x1402fe64c","9.99996e-05","268800","2150400","0.125","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402fe64c","[Unknown]","0x1402fe64c"
"func@0x140073060","9.99996e-05","268800","0","","0","","","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x140073060","[Unknown]","0x140073060"
"func@0x140256eb5","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140256eb5","[Unknown]","0x140256eb5"
"func@0x1402a7b9a","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402a7b9a","[Unknown]","0x1402a7b9a"
"func@0x140253420","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x140253420","[Unknown]","0x140253420"
"func@0x1402ccb54","9.99996e-05","268800","537600","0.5","0","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402ccb54","[Unknown]","0x1402ccb54"
"func@0x1402c26ed","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402c26ed","[Unknown]","0x1402c26ed"
"memcmp","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","memcmp","[Unknown]","0x1406c1710"
"func@0x14029f310","9.99996e-05","1344000","2150400","0.625","0","0","1","0","0","0","0","0","0","0","1.34401e+10","ntoskrnl.exe","func@0x14029f310","[Unknown]","0x14029f310"
"func@0x1402858e0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402858e0","[Unknown]","0x1402858e0"
"func@0x1402bcb00","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402bcb00","[Unknown]","0x1402bcb00"
"func@0x14024315c","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14024315c","[Unknown]","0x14024315c"
"func@0x14032e5e0","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14032e5e0","[Unknown]","0x14032e5e0"
"func@0x140313964","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140313964","[Unknown]","0x140313964"
"func@0x140414da0","9.99996e-05","268800","537600","0.5","0","0","1","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x140414da0","[Unknown]","0x140414da0"
"func@0x1409f90ef","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1409f90ef","[Unknown]","0x1409f90ef"
"func@0x14023a5c0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","atc.sys","func@0x14023a5c0","[Unknown]","0x14023a5c0"
"func@0x1406b4250","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1406b4250","[Unknown]","0x1406b4250"
"func@0x1401c0900","9.99996e-05","0","1075200","0","0","","","0","0","0","0","0","0","0","0","atc.sys","func@0x1401c0900","[Unknown]","0x1401c0900"
"func@0x140299e00","9.99996e-05","806400","0","","0","0","1","0","0","0","0","0","0","0","8.06403e+09","ntoskrnl.exe","func@0x140299e00","[Unknown]","0x140299e00"
"func@0x1402506ec","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402506ec","[Unknown]","0x1402506ec"
"func@0x1402bcd80","9.99996e-05","537600","0","","0","","","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402bcd80","[Unknown]","0x1402bcd80"
"NtWriteFile","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","NtWriteFile","[Unknown]","0x1408bfa70"
"func@0x140291970","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140291970","[Unknown]","0x140291970"
"func@0x14027c530","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14027c530","[Unknown]","0x14027c530"
"wcslen","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","wcslen","[Unknown]","0x1404fd760"
"ObfReferenceObject","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","ObfReferenceObject","[Unknown]","0x140314770"
"func@0x1406a7250","9.99996e-05","1075200","1075200","1","0","","","","0","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","func@0x1406a7250","[Unknown]","0x1406a7250"
"func@0x140241e6e","9.99996e-05","1075200","1075200","1","0","","","0","0","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","func@0x140241e6e","[Unknown]","0x140241e6e"
"func@0x1405f07e0","9.99996e-05","1881600","1612800","1.16667","0","0.5","0.5","0","0","0","0","0","0","0","1.88161e+10","atc.sys","func@0x1405f07e0","[Unknown]","0x1405f07e0"
"func@0x1404858a0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","0","atc.sys","func@0x1404858a0","[Unknown]","0x1404858a0"
