"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Stores Bound","Load Bound","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"func@0x1406c2140","0.000499998","3494400","4300800","0.8125","","0","","0","0","0","0","0","0","0","6.98883e+09","ntoskrnl.exe","func@0x1406c2140","[Unknown]","0x1406c2140"
"func@0x1402a03b0","0.000499998","806400","1612800","0.5","0","0","1","0","0","0","0","0","0","0","1.61281e+09","ntoskrnl.exe","func@0x1402a03b0","[Unknown]","0x1402a03b0"
"func@0x140311af2","0.000499998","1612800","1075200","1.5","0","0","1","0","0","0","0","0","0","0","3.22561e+09","ntoskrnl.exe","func@0x140311af2","[Unknown]","0x140311af2"
"fread","0.000499998","1612800","1612800","1","0","","","0","0","0","0","0","0","0","3.22561e+09","ucrtbase.dll","fread","[Unknown]","0x18001de00"
"stbi__extend_receive","0.000499998","2150400","2688000","0.8","0.2","0.2","0.6","0","0","0","0","0","0","0","4.30082e+09","kip_sequential_soa_profile.exe","stbi__extend_receive","stb_image.h","0x140012f6c"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000499998","1075200","5913600","0.181818","","","","0","0","0","0","0","0","0","2.15041e+09","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e921"
"func@0x140314f30","0.000499998","537600","537600","1","0","0","1","0","0","0","0","0","0","0","1.0752e+09","ntoskrnl.exe","func@0x140314f30","[Unknown]","0x140314f30"
"func@0x1405de530","0.000399998","2150400","3763200","0.571429","0","","","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1405de530","[Unknown]","0x1405de530"
"func@0x14023c870","0.000399998","1881600","2688000","0.7","0","0","1","0","0","0","0","0","0","0","4.70402e+09","ntoskrnl.exe","func@0x14023c870","[Unknown]","0x14023c870"
"func@0x1402be140","0.000399998","1075200","0","","","0","","","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402be140","[Unknown]","0x1402be140"
"func@0x14029f99c","0.000399998","806400","1612800","0.5","","","","0","0","0","0","0","0","0","2.01601e+09","ntoskrnl.exe","func@0x14029f99c","[Unknown]","0x14029f99c"
"func@0x14030ac66","0.000399998","1344000","0","","","","","0","0","0","0","0","0","0","3.36001e+09","ntoskrnl.exe","func@0x14030ac66","[Unknown]","0x14030ac66"
"func@0x140241500","0.000399998","1612800","3763200","0.428571","","0","","0","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x140241500","[Unknown]","0x140241500"
"func@0x1402fe397","0.000399998","1344000","4838400","0.277778","","0","","0","0","0","0","0","0","0","3.36001e+09","ntoskrnl.exe","func@0x1402fe397","[Unknown]","0x1402fe397"
"stbi__addints_valid","0.000399998","1881600","4838400","0.388889","0","0.1","0.9","0","0","0","0","0","0","0","4.70402e+09","kip_sequential_soa_profile.exe","stbi__addints_valid","stb_image.h","0x140021e8b"
"KeEnumerateNextProcessor","0.000399998","1881600","5376000","0.35","0","","","0","0","0","0","0","0","0","4.70402e+09","ntoskrnl.exe","KeEnumerateNextProcessor","[Unknown]","0x140408580"
"ExReleaseResourceLite","0.000399998","2150400","2150400","1","0","0.1","0.9","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","ExReleaseResourceLite","[Unknown]","0x1402801f0"
"func@0x140228c90","0.000399998","1612800","1612800","1","0","0","1","0","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x140228c90","[Unknown]","0x140228c90"
"func@0x1404eff80","0.000399998","1612800","3763200","0.428571","0","0","1","0","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x1404eff80","[Unknown]","0x1404eff80"
"stbi__stdio_read","0.000399998","1075200","537600","2","0","","","0","0","0","0","0","0","0","2.68801e+09","kip_sequential_soa_profile.exe","stbi__stdio_read(void *, char *, int)","stb_image.h","0x14000ecb0"
"func@0x1403619d0","0.000399998","1075200","268800","4","0","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1403619d0","[Unknown]","0x1403619d0"
"func@0x140242e20","0.000399998","3494400","4838400","0.722222","0.2","0.3","0.5","0","0","0","0","0","0","0","8.73604e+09","ntoskrnl.exe","func@0x140242e20","[Unknown]","0x140242e20"
"func@0x1402a5560","0.000399998","1612800","1612800","1","0.2","0","0.8","0","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x1402a5560","[Unknown]","0x1402a5560"
"func@0x140298af0","0.000399998","2150400","1612800","1.33333","0","","","0","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x140298af0","[Unknown]","0x140298af0"
"ExReleaseRundownProtection","0.000399998","268800","537600","0.5","0","0","1","0","0","0","0","0","0","0","6.72003e+08","ntoskrnl.exe","ExReleaseRundownProtection","[Unknown]","0x14020dda0"
"func@0x1406bf883","0.000399998","1612800","2150400","0.75","0","","","","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x1406bf883","[Unknown]","0x1406bf883"
"func@0x1406b473f","0.000399998","2688000","537600","5","0","0.1","0","1","0","0","0","0","0","0","6.72003e+09","ntoskrnl.exe","func@0x1406b473f","[Unknown]","0x1406b473f"
"func@0x1402a71a0","0.000399998","1344000","1075200","1.25","0","0","","","0","0","0","0","0","0","3.36001e+09","ntoskrnl.exe","func@0x1402a71a0","[Unknown]","0x1402a71a0"
"stbiw__putc","0.000399998","537600","1612800","0.333333","0.2","0.1","0.7","0","0","0","0","0","0","0","1.34401e+09","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x140024ac8"
"func@0x14031ff50","0.000399998","2150400","1075200","2","0","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14031ff50","[Unknown]","0x14031ff50"
"func@0x14026c7d0","0.000399998","2419200","4300800","0.5625","0.4","0","0.6","0","0","0","0","0","0","0","6.04803e+09","atc.sys","func@0x14026c7d0","[Unknown]","0x14026c7d0"
"stbiw__putc","0.000399998","268800","1612800","0.166667","0","0","1","0","0","0","0","0","0","0","6.72003e+08","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x1400248db"
"func@0x14041bb67","0.000399998","1344000","5913600","0.227273","","","","0","0","0","0","0","0","0","3.36001e+09","ntoskrnl.exe","func@0x14041bb67","[Unknown]","0x14041bb67"
"ExAcquireAutoExpandPushLockShared","0.000399998","1075200","6988800","0.153846","0","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","ExAcquireAutoExpandPushLockShared","[Unknown]","0x140314840"
"func@0x18006cb10","0.000399998","1344000","2150400","0.625","0.6","0","0.4","0","0","0","0","0","0","0","3.36001e+09","ntdll.dll","func@0x18006cb10","[Unknown]","0x18006cb10"
"func@0x1405f8e00","0.000399998","537600","537600","1","","0","","0","0","0","0","0","0","0","1.34401e+09","atc.sys","func@0x1405f8e00","[Unknown]","0x1405f8e00"
"func@0x14023b3f0","0.000399998","3763200","2150400","1.75","0","0","","","0","0","0","0","0","0","9.40804e+09","ntoskrnl.exe","func@0x14023b3f0","[Unknown]","0x14023b3f0"
"func@0x14027a0b0","0.000399998","1612800","537600","3","0","","","0","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x14027a0b0","[Unknown]","0x14027a0b0"
"func@0x140321f60","0.000399998","0","2150400","0","0","","","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140321f60","[Unknown]","0x140321f60"
"func@0x140388690","0.000399998","537600","6451200","0.0833333","","0","","","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x140388690","[Unknown]","0x140388690"
"stbiw__putc","0.000399998","806400","2688000","0.3","","","","0","0","0","0","0","0","0","2.01601e+09","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x140024a48"
"ExReleaseSpinLockShared","0.000299999","1344000","1075200","1.25","0","0","1","0","0","0","0","0","0","0","4.48002e+09","ntoskrnl.exe","ExReleaseSpinLockShared","[Unknown]","0x140219330"
"KeAcquireInStackQueuedSpinLock","0.000299999","2150400","1075200","2","0","0","1","0","0","0","0","0","0","0","7.16803e+09","ntoskrnl.exe","KeAcquireInStackQueuedSpinLock","[Unknown]","0x14034efc0"
"func@0x140241100","0.000299999","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140241100","[Unknown]","0x140241100"
"func@0x140163890","0.000299999","537600","0","","","","","0","0","0","0","0","0","0","1.79201e+09","ntfs.sys","func@0x140163890","[Unknown]","0x140163890"
"stbi__jpeg_get_bits","0.000299999","537600","2688000","0.2","0","0","1","0","0","0","0","0","0","0","1.79201e+09","kip_sequential_soa_profile.exe","stbi__jpeg_get_bits","stb_image.h","0x14001319d"
"NtReadFile","0.000299999","537600","537600","1","0","","","0","0","0","0","0","0","0","1.79201e+09","ntdll.dll","NtReadFile","[Unknown]","0x180160430"
"func@0x14024c277","0.000299999","1881600","537600","3.5","0","0","1","0","0","0","0","0","0","0","6.27203e+09","ntoskrnl.exe","func@0x14024c277","[Unknown]","0x14024c277"
"func@0x14040a230","0.000299999","537600","0","","0","0","1","0","0","0","0","0","0","0","1.79201e+09","ntoskrnl.exe","func@0x14040a230","[Unknown]","0x14040a230"
"func@0x1402402c0","0.000299999","806400","537600","1.5","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402402c0","[Unknown]","0x1402402c0"
