"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"func@0x1401c37c0","0.000299999","0","0","0","0","0","atc.sys","func@0x1401c37c0","[Unknown]","0x1401c37c0"
"KeQueryPerformanceCounter","0.000299999","0","0","0","0","0","ntoskrnl.exe","KeQueryPerformanceCounter","[Unknown]","0x140363710"
"func@0x140283ead","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140283ead","[Unknown]","0x140283ead"
"func@0x140036850","0.000299999","0","0","0","0","0","vlflt.sys","func@0x140036850","[Unknown]","0x140036850"
"KeSetEvent","0.000299999","0","0","0","0","0","ntoskrnl.exe","KeSetEvent","[Unknown]","0x140227340"
"func@0x14027d21a","0.000299999","0","0","880000","770000","0","ntoskrnl.exe","func@0x14027d21a","[Unknown]","0x14027d21a"
"func@0x1406b6883","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1406b6883","[Unknown]","0x1406b6883"
"func@0x180010040","0.000299999","0","0","0","0","0","fltmgr.sys","func@0x180010040","[Unknown]","0x180010040"
"func@0x14022ae00","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14022ae00","[Unknown]","0x14022ae00"
"func@0x14041b940","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14041b940","[Unknown]","0x14041b940"
"func@0x140929e5e","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140929e5e","[Unknown]","0x140929e5e"
"func@0x140292030","0.000299999","0","0","0","110000","0","ntoskrnl.exe","func@0x140292030","[Unknown]","0x140292030"
"func@0x1406b473f","0.000299999","","0","0","0","0","ntoskrnl.exe","func@0x1406b473f","[Unknown]","0x1406b473f"
"CcCopyReadEx","0.000299999","0","0","0","0","0","ntoskrnl.exe","CcCopyReadEx","[Unknown]","0x1404d5420"
"ExReleaseRundownProtectionCacheAwareEx","0.000299999","0","0","660000","110000","0","ntoskrnl.exe","ExReleaseRundownProtectionCacheAwareEx","[Unknown]","0x14027f3a0"
"func@0x140227496","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140227496","[Unknown]","0x140227496"
"func@0x1406c2140","0.000299999","0","0","0","440000","0","ntoskrnl.exe","func@0x1406c2140","[Unknown]","0x1406c2140"
"func@0x14042ee00","0.000299999","0","0","220000","330000","0","ntoskrnl.exe","func@0x14042ee00","[Unknown]","0x14042ee00"
"func@0x1406b3623","0.000299999","0","0","0","110000","0","ntoskrnl.exe","func@0x1406b3623","[Unknown]","0x1406b3623"
"func@0x14021ffd0","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14021ffd0","[Unknown]","0x14021ffd0"
"func@0x14045b0c0","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14045b0c0","[Unknown]","0x14045b0c0"
"func@0x1403642d0","0.000299999","0","0","220000","0","0","ntoskrnl.exe","func@0x1403642d0","[Unknown]","0x1403642d0"
"func@0x140250d34","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140250d34","[Unknown]","0x140250d34"
"func@0x1402d079c","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1402d079c","[Unknown]","0x1402d079c"
"func@0x1403619d0","0.000299999","0","0","220000","110000","0","ntoskrnl.exe","func@0x1403619d0","[Unknown]","0x1403619d0"
"func@0x1402506ec","0.000299999","0","0","220000","0","0","ntoskrnl.exe","func@0x1402506ec","[Unknown]","0x1402506ec"
"func@0x14029b041","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14029b041","[Unknown]","0x14029b041"
"func@0x1402fb450","0.000299999","0","0","0","110000","0","ntoskrnl.exe","func@0x1402fb450","[Unknown]","0x1402fb450"
"stbi__addints_valid","0.000299999","0","0","2640000","2090000","0","kip_sequential_soa_profile.exe","stbi__addints_valid","stb_image.h","0x140021e8b"
"ObLogSecurityDescriptor","0.000299999","0","0","0","0","0","ntoskrnl.exe","ObLogSecurityDescriptor","[Unknown]","0x140837aa0"
"func@0x1402bd0a0","0.000299999","0","0","220000","110000","0","ntoskrnl.exe","func@0x1402bd0a0","[Unknown]","0x1402bd0a0"
"func@0x14029f65c","0.000299999","0","0","220000","110000","0","ntoskrnl.exe","func@0x14029f65c","[Unknown]","0x14029f65c"
"func@0x14023b3f0","0.000299999","0","0","220000","0","0","ntoskrnl.exe","func@0x14023b3f0","[Unknown]","0x14023b3f0"
"func@0x14041bab0","0.000299999","0","0","220000","110000","0","ntoskrnl.exe","func@0x14041bab0","[Unknown]","0x14041bab0"
"func@0x14001d190","0.000299999","0","0","0","0","0","classpnp.sys","func@0x14001d190","[Unknown]","0x14001d190"
"func@0x140480bc0","0.000299999","0","0","0","0","0","atc.sys","func@0x140480bc0","[Unknown]","0x140480bc0"
"KeClockInterruptNotify","0.000299999","0","0","440000","0","0","ntoskrnl.exe","KeClockInterruptNotify","[Unknown]","0x14030f2c0"
"func@0x1402262a0","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1402262a0","[Unknown]","0x1402262a0"
"fread_nolock_s","0.000299999","0","0","220000","0","0","ucrtbase.dll","fread_nolock_s","[Unknown]","0x18001def0"
"func@0x1402bcd80","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1402bcd80","[Unknown]","0x1402bcd80"
"func@0x1402d6620","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1402d6620","[Unknown]","0x1402d6620"
"func@0x14027a0b0","0.000299999","0","0","220000","0","0","ntoskrnl.exe","func@0x14027a0b0","[Unknown]","0x14027a0b0"
"func@0x14031f584","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14031f584","[Unknown]","0x14031f584"
"func@0x14029c790","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14029c790","[Unknown]","0x14029c790"
"func@0x1406ae580","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1406ae580","[Unknown]","0x1406ae580"
"func@0x1402a0f93","0.000299999","0","0","0","110000","0","ntoskrnl.exe","func@0x1402a0f93","[Unknown]","0x1402a0f93"
"func@0x1402a5490","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x1402a5490","[Unknown]","0x1402a5490"
"func@0x140393100","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140393100","[Unknown]","0x140393100"
"func@0x140285b30","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140285b30","[Unknown]","0x140285b30"
"func@0x140237200","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140237200","[Unknown]","0x140237200"
"func@0x140227ad0","0.000299999","0","0","220000","0","0","ntoskrnl.exe","func@0x140227ad0","[Unknown]","0x140227ad0"
"ExReleaseAutoExpandPushLockShared","0.000299999","0","0","0","0","0","ntoskrnl.exe","ExReleaseAutoExpandPushLockShared","[Unknown]","0x140283d90"
"func@0x140a134a4","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140a134a4","[Unknown]","0x140a134a4"
"func@0x1405f0380","0","0","0","0","110000","0","atc.sys","func@0x1405f0380","[Unknown]","0x1405f0380"
"func@0x140320ee0","0","0","0","0","110000","0","atc.sys","func@0x140320ee0","[Unknown]","0x140320ee0"
"func@0x140414da0","0","0","0","440000","220000","0","atc.sys","func@0x140414da0","[Unknown]","0x140414da0"
"func@0x1403f7e20","0","0","0","220000","0","0","atc.sys","func@0x1403f7e20","[Unknown]","0x1403f7e20"
"func@0x1405f07e0","0","0","0","0","110000","0","atc.sys","func@0x1405f07e0","[Unknown]","0x1405f07e0"
"func@0x140234c90","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140234c90","[Unknown]","0x140234c90"
"DpiGetSchedulerCallbackState","0","0","0","0","110000","0","dxgkrnl.sys","DpiGetSchedulerCallbackState","[Unknown]","0x140034790"
"func@0x140616d00","0","0","0","220000","0","0","atc.sys","func@0x140616d00","[Unknown]","0x140616d00"
"NtReadFile","0","0","0","220000","0","0","ntdll.dll","NtReadFile","[Unknown]","0x180160430"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0","0","0","220000","0","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264c2"
"RtlAnsiStringToUnicodeString","0","0","0","220000","0","0","ntdll.dll","RtlAnsiStringToUnicodeString","[Unknown]","0x180039960"
"func@0x1405ea707","0","0","0","0","110000","0","atc.sys","func@0x1405ea707","[Unknown]","0x1405ea707"
"func@0x1402e4ae0","0","0","0","220000","110000","0","atc.sys","func@0x1402e4ae0","[Unknown]","0x1402e4ae0"
"func@0x18005a0ac","0","0","0","220000","0","0","ntdll.dll","func@0x18005a0ac","[Unknown]","0x18005a0ac"
"func@0x1800264cc","0","0","0","0","110000","0","apphelp.dll","func@0x1800264cc","[Unknown]","0x1800264cc"
"func@0x1402ca3e0","0","0","0","0","0","0","igdkmdn64.sys","func@0x1402ca3e0","[Unknown]","0x1402ca3e0"
"func@0x140241100","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140241100","[Unknown]","0x140241100"
"ExReleaseSpinLockShared","0","0","0","0","0","0","ntoskrnl.exe","ExReleaseSpinLockShared","[Unknown]","0x140219330"
"func@0x18002e9f0","0","0","0","0","550000","0","cng.sys","func@0x18002e9f0","[Unknown]","0x18002e9f0"
"stbi__build_fast_ac","0","0","0","0","110000","0","kip_sequential_soa_profile.exe","stbi__build_fast_ac","stb_image.h","0x140020220"
"EntropyProvideData","0","0","0","0","110000","0","cng.sys","EntropyProvideData","[Unknown]","0x18002e130"
"func@0x1800d7320","0","0","0","220000","0","0","ntdll.dll","func@0x1800d7320","[Unknown]","0x1800d7320"
"func@0x14029ef34","0","0","0","0","330000","0","ntoskrnl.exe","func@0x14029ef34","[Unknown]","0x14029ef34"
"func@0x1404efaa0","0","0","0","220000","110000","0","ntoskrnl.exe","func@0x1404efaa0","[Unknown]","0x1404efaa0"
"func@0x14029229c","0","0","0","220000","0","0","ntoskrnl.exe","func@0x14029229c","[Unknown]","0x14029229c"
"func@0x140256eb5","0","0","0","220000","110000","0","ntoskrnl.exe","func@0x140256eb5","[Unknown]","0x140256eb5"
"func@0x1800a5b00","0","0","0","0","110000","0","cng.sys","func@0x1800a5b00","[Unknown]","0x1800a5b00"
"func@0x1402416e0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1402416e0","[Unknown]","0x1402416e0"
"func@0x1403e8fc3","0","0","0","220000","110000","0","ntoskrnl.exe","func@0x1403e8fc3","[Unknown]","0x1403e8fc3"
"func@0x140bc076a","0","0","0","440000","0","0","ntoskrnl.exe","func@0x140bc076a","[Unknown]","0x140bc076a"
"func@0x18002e680","0","0","0","0","110000","0","cng.sys","func@0x18002e680","[Unknown]","0x18002e680"
"func@0x140222370","0","0","0","440000","0","0","ntoskrnl.exe","func@0x140222370","[Unknown]","0x140222370"
"func@0x1402ff8e7","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1402ff8e7","[Unknown]","0x1402ff8e7"
"func@0x1402467b0","0","0","0","440000","110000","0","ntoskrnl.exe","func@0x1402467b0","[Unknown]","0x1402467b0"
"func@0x140879ef1","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140879ef1","[Unknown]","0x140879ef1"
"func@0x180050e90","0","0","0","220000","0","0","cng.sys","func@0x180050e90","[Unknown]","0x180050e90"
"func@0x14084aca0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14084aca0","[Unknown]","0x14084aca0"
"func@0x14024315c","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14024315c","[Unknown]","0x14024315c"
"func@0x140342b60","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140342b60","[Unknown]","0x140342b60"
"wcsicmp","0","0","0","220000","0","0","ntdll.dll","wcsicmp","[Unknown]","0x180120e70"
"func@0x1406b4c60","0","0","0","220000","220000","0","ntoskrnl.exe","func@0x1406b4c60","[Unknown]","0x1406b4c60"
"strrchr","0","0","0","0","110000","0","ntdll.dll","strrchr","[Unknown]","0x180124b50"
"func@0x1402c6b30","0","0","0","220000","0","0","ntoskrnl.exe","func@0x1402c6b30","[Unknown]","0x1402c6b30"
"func@0x140849130","0","0","0","220000","220000","0","ntoskrnl.exe","func@0x140849130","[Unknown]","0x140849130"
"stbi__refill_buffer","0","0","0","0","220000","0","kip_sequential_soa_profile.exe","stbi__refill_buffer","stb_image.h","0x140021b41"
"func@0x14091a10d","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14091a10d","[Unknown]","0x14091a10d"
"func@0x14024de1d","0","0","0","220000","0","0","ntoskrnl.exe","func@0x14024de1d","[Unknown]","0x14024de1d"
"func@0x1c0001dc0","0","0","0","0","110000","0","fileinfo.sys","func@0x1c0001dc0","[Unknown]","0x1c0001dc0"
"func@0x1402ffdb7","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1402ffdb7","[Unknown]","0x1402ffdb7"
"ExAcquireAutoExpandPushLockExclusive","0","0","0","0","110000","0","ntoskrnl.exe","ExAcquireAutoExpandPushLockExclusive","[Unknown]","0x1403131a0"
"FltGetStreamHandleContext","0","0","0","220000","110000","0","fltmgr.sys","FltGetStreamHandleContext","[Unknown]","0x180008e90"
"RtlUnicodeToMultiByteN","0","0","0","220000","0","0","ntdll.dll","RtlUnicodeToMultiByteN","[Unknown]","0x18007ecd0"
"func@0x1800092d6","0","0","0","220000","220000","0","fltmgr.sys","func@0x1800092d6","[Unknown]","0x1800092d6"
"RtlGetNextExpiredTimerWheelEntry","0","0","0","0","110000","0","netio.sys","RtlGetNextExpiredTimerWheelEntry","[Unknown]","0x140033d50"
"func@0x180008fb4","0","0","0","440000","0","0","fltmgr.sys","func@0x180008fb4","[Unknown]","0x180008fb4"
"func@0x1403c2aa0","0","0","0","440000","0","0","ntoskrnl.exe","func@0x1403c2aa0","[Unknown]","0x1403c2aa0"
"func@0x180010074","0","0","0","0","110000","0","fltmgr.sys","func@0x180010074","[Unknown]","0x180010074"
"func@0x1403c8943","0","0","0","220000","0","0","ntoskrnl.exe","func@0x1403c8943","[Unknown]","0x1403c8943"
"func@0x140228c90","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140228c90","[Unknown]","0x140228c90"
"NtCreateSection","0","0","0","220000","0","0","ntdll.dll","NtCreateSection","[Unknown]","0x180160cb0"
"func@0x18001dcd0","0","0","0","0","110000","0","fltmgr.sys","func@0x18001dcd0","[Unknown]","0x18001dcd0"
"func@0x1402a5560","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1402a5560","[Unknown]","0x1402a5560"
"[bfs.sys]","0","0","0","0","110000","0","bfs.sys","[bfs.sys]","[Unknown]","0"
"func@0x140341db0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140341db0","[Unknown]","0x140341db0"
"ExReleasePushLockEx","0","0","0","220000","220000","0","ntoskrnl.exe","ExReleasePushLockEx","[Unknown]","0x1402842d0"
"RtlCompareUnicodeString","0","0","0","220000","0","0","ntoskrnl.exe","RtlCompareUnicodeString","[Unknown]","0x140935050"
"func@0x140241500","0","0","0","660000","880000","0","ntoskrnl.exe","func@0x140241500","[Unknown]","0x140241500"
"func@0x180009500","0","0","0","0","110000","0","fltmgr.sys","func@0x180009500","[Unknown]","0x180009500"
"func@0x14084546a","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14084546a","[Unknown]","0x14084546a"
"ObfDereferenceObject","0","0","0","0","110000","0","ntoskrnl.exe","ObfDereferenceObject","[Unknown]","0x1402c39e0"
"func@0x18005edd0","0","0","0","0","110000","0","fltmgr.sys","func@0x18005edd0","[Unknown]","0x18005edd0"
"func@0x18000dff0","0","0","0","440000","110000","0","fltmgr.sys","func@0x18000dff0","[Unknown]","0x18000dff0"
"func@0x140844f10","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140844f10","[Unknown]","0x140844f10"
"func@0x140844560","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140844560","[Unknown]","0x140844560"
"func@0x180024580","0","0","0","0","110000","0","fltmgr.sys","func@0x180024580","[Unknown]","0x180024580"
"func@0x18000ec8a","0","0","0","0","110000","0","fltmgr.sys","func@0x18000ec8a","[Unknown]","0x18000ec8a"
"FltAcquirePushLockShared","0","0","0","220000","0","0","fltmgr.sys","FltAcquirePushLockShared","[Unknown]","0x180013c40"
"func@0x1402fd9ef","0","0","0","440000","0","0","ntoskrnl.exe","func@0x1402fd9ef","[Unknown]","0x1402fd9ef"
"ExpInterlockedPushEntrySList","0","0","0","220000","0","0","ntoskrnl.exe","ExpInterlockedPushEntrySList","[Unknown]","0x1406b51a0"
"stbi__jpeg_get_bits","0","0","0","440000","0","0","kip_sequential_soa_profile.exe","stbi__jpeg_get_bits","stb_image.h","0x14001319d"
"func@0x14026cf20","0","0","0","220000","110000","55022","ntoskrnl.exe","func@0x14026cf20","[Unknown]","0x14026cf20"
"fread_s","0","0","0","0","110000","0","ucrtbase.dll","fread_s","[Unknown]","0x18001de30"
"func@0x1402712c0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1402712c0","[Unknown]","0x1402712c0"
"func@0x180014d60","0","0","0","220000","0","0","bdhkm64.dll","func@0x180014d60","[Unknown]","0x180014d60"
"func@0x14029f310","0","0","0","660000","0","0","ntoskrnl.exe","func@0x14029f310","[Unknown]","0x14029f310"
"func@0x140320250","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140320250","[Unknown]","0x140320250"
"func@0x14024437d","0","0","0","220000","0","0","ntoskrnl.exe","func@0x14024437d","[Unknown]","0x14024437d"
"func@0x140260a34","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140260a34","[Unknown]","0x140260a34"
"func@0x14024fc30","0","0","0","440000","0","0","ntoskrnl.exe","func@0x14024fc30","[Unknown]","0x14024fc30"
"func@0x1800081d0","0","0","0","220000","0","0","ucrtbase.dll","func@0x1800081d0","[Unknown]","0x1800081d0"
"func@0x140202630","0","0","0","440000","220000","0","ntoskrnl.exe","func@0x140202630","[Unknown]","0x140202630"
"func@0x1401c7f40","0","0","0","0","110000","0","ntfs.sys","func@0x1401c7f40","[Unknown]","0x1401c7f40"
"func@0x140257ac0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140257ac0","[Unknown]","0x140257ac0"
"func@0x1401470d0","0","0","0","220000","0","0","ntfs.sys","func@0x1401470d0","[Unknown]","0x1401470d0"
"func@0x1400080b0","0","0","0","0","110000","0","dxgmms2.sys","func@0x1400080b0","[Unknown]","0x1400080b0"
"func@0x1402068e0","0","0","0","220000","110000","0","ntoskrnl.exe","func@0x1402068e0","[Unknown]","0x1402068e0"
"func@0x14023c95c","0","0","0","1540000","220000","0","ntoskrnl.exe","func@0x14023c95c","[Unknown]","0x14023c95c"
"func@0x1408489e0","0","0","0","220000","110000","0","ntoskrnl.exe","func@0x1408489e0","[Unknown]","0x1408489e0"
"func@0x14024c277","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14024c277","[Unknown]","0x14024c277"
"func@0x14013cb80","0","0","0","0","110000","0","ntfs.sys","func@0x14013cb80","[Unknown]","0x14013cb80"
"func@0x140136ba0","0","0","0","220000","0","0","ntfs.sys","func@0x140136ba0","[Unknown]","0x140136ba0"
"func@0x140213710","0","0","0","440000","550000","0","ntoskrnl.exe","func@0x140213710","[Unknown]","0x140213710"
"func@0x1409230c0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1409230c0","[Unknown]","0x1409230c0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0","0","0","660000","110000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e921"
"stbi__stdio_write","0","0","0","660000","330000","0","kip_sequential_soa_profile.exe","stbi__stdio_write(void *, void *, int)","stb_image_write.h","0x140023ef0"
"stbiw__putc","0","0","0","220000","0","0","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x1400249f9"
"stbiw__putc","0","0","0","220000","110000","0","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x1400246f3"
"func@0x1402272f0","0","0","0","220000","110000","0","ntoskrnl.exe","func@0x1402272f0","[Unknown]","0x1402272f0"
"stbiw__jpg_writeBits","0","0","0","0","220000","0","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x1400245f1"
"func@0x140314fe1","0","0","0","220000","440000","0","ntoskrnl.exe","func@0x140314fe1","[Unknown]","0x140314fe1"
"func@0x1408dbb13","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1408dbb13","[Unknown]","0x1408dbb13"
"ObfDereferenceObjectWithTag","0","0","0","0","110000","0","ntoskrnl.exe","ObfDereferenceObjectWithTag","[Unknown]","0x1402c3800"
"stbiw__jpg_calcBits","0","0","0","0","220000","0","kip_sequential_soa_profile.exe","stbiw__jpg_calcBits","stb_image_write.h","0x1400245ba"
"func@0x140242460","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140242460","[Unknown]","0x140242460"
"func@0x140878660","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140878660","[Unknown]","0x140878660"
"func@0x14083b99a","0","0","0","220000","0","0","ntoskrnl.exe","func@0x14083b99a","[Unknown]","0x14083b99a"
"func@0x14024fe10","0","1","0","440000","0","0","ntoskrnl.exe","func@0x14024fe10","[Unknown]","0x14024fe10"
"func@0x1404eff80","0","1","0","220000","0","0","ntoskrnl.exe","func@0x1404eff80","[Unknown]","0x1404eff80"
"func@0x14024ae29","0","0","0","1320000","440000","0","ntoskrnl.exe","func@0x14024ae29","[Unknown]","0x14024ae29"
"ExAcquireSpinLockShared","0","0","0","0","220000","0","ntoskrnl.exe","ExAcquireSpinLockShared","[Unknown]","0x1402b8500"
"func@0x1402ff770","0","0","0","0","220000","0","ntoskrnl.exe","func@0x1402ff770","[Unknown]","0x1402ff770"
"func@0x14031ff50","0","0","0","0","330000","0","ntoskrnl.exe","func@0x14031ff50","[Unknown]","0x14031ff50"
"stbiw__putc","0","0","0","220000","0","0","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x140024ae3"
"func@0x1403b5b80","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1403b5b80","[Unknown]","0x1403b5b80"
"func@0x1402a214c","0","0","0","220000","0","0","ntoskrnl.exe","func@0x1402a214c","[Unknown]","0x1402a214c"
"func@0x140874bb6","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140874bb6","[Unknown]","0x140874bb6"
"stbiw__jpg_writeBits","0","0","0","220000","110000","0","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024afb"
"func@0x14027dbc0","0","0","0","220000","330000","0","ntoskrnl.exe","func@0x14027dbc0","[Unknown]","0x14027dbc0"
"func@0x140222c10","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140222c10","[Unknown]","0x140222c10"
"stbiw__putc","0","0","0","220000","0","0","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x140024a48"
"func@0x140220f80","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140220f80","[Unknown]","0x140220f80"
"func@0x140398a00","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140398a00","[Unknown]","0x140398a00"
"func@0x1409067d0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x1409067d0","[Unknown]","0x1409067d0"
"func@0x1402138b1","0","0","0","0","220000","0","ntoskrnl.exe","func@0x1402138b1","[Unknown]","0x1402138b1"
"func@0x1401564d9","0","0","0","220000","0","0","ntfs.sys","func@0x1401564d9","[Unknown]","0x1401564d9"
"func@0x140206e50","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140206e50","[Unknown]","0x140206e50"
"func@0x14022ac00","0","0","0","220000","0","0","ntoskrnl.exe","func@0x14022ac00","[Unknown]","0x14022ac00"
"func@0x140006d60","0","0","0","0","110000","0","ntfs.sys","func@0x140006d60","[Unknown]","0x140006d60"
"func@0x14020c4a0","0","0","0","220000","0","0","ntoskrnl.exe","func@0x14020c4a0","[Unknown]","0x14020c4a0"
"func@0x1402be140","0","0","0","0","220000","0","ntoskrnl.exe","func@0x1402be140","[Unknown]","0x1402be140"
"func@0x14027fcd0","0","0","0","220000","0","0","ntoskrnl.exe","func@0x14027fcd0","[Unknown]","0x14027fcd0"
"func@0x14033a3e0","0","0","0","660000","440000","0","ntoskrnl.exe","func@0x14033a3e0","[Unknown]","0x14033a3e0"
"func@0x140009760","0","0","0","0","110000","0","ntfs.sys","func@0x140009760","[Unknown]","0x140009760"
"ios_base::width","0","0","0","0","0","0","kip_sequential_soa_profile.exe","ios_base::width","xiosbase","0x140002374"
"func@0x1403cd100","0","0","0","0","330000","0","ntoskrnl.exe","func@0x1403cd100","[Unknown]","0x1403cd100"
"func@0x1402ff7d2","0","0","0","220000","110000","0","ntoskrnl.exe","func@0x1402ff7d2","[Unknown]","0x1402ff7d2"
"func@0x1403c8300","0","0","0","220000","0","0","ntoskrnl.exe","func@0x1403c8300","[Unknown]","0x1403c8300"
"func@0x140848c33","0","0","0","220000","0","0","ntoskrnl.exe","func@0x140848c33","[Unknown]","0x140848c33"
"func@0x140329f60","0","","0","220000","0","0","ntoskrnl.exe","func@0x140329f60","[Unknown]","0x140329f60"
"func@0x140328d20","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140328d20","[Unknown]","0x140328d20"
"func@0x140316fe0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140316fe0","[Unknown]","0x140316fe0"
"func@0x140330830","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140330830","[Unknown]","0x140330830"
"func@0x140233b90","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140233b90","[Unknown]","0x140233b90"
"func@0x1404014c0","0","0","0","440000","0","0","ntoskrnl.exe","func@0x1404014c0","[Unknown]","0x1404014c0"
"func@0x140843bc0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x140843bc0","[Unknown]","0x140843bc0"
"func@0x14030b490","0","0","0","220000","330000","0","ntoskrnl.exe","func@0x14030b490","[Unknown]","0x14030b490"
"func@0x140298d30","0","0","0","440000","330000","0","ntoskrnl.exe","func@0x140298d30","[Unknown]","0x140298d30"
"ExReleaseResourceLite","0","0","0","440000","440000","0","ntoskrnl.exe","ExReleaseResourceLite","[Unknown]","0x1402801f0"
"func@0x14028edf0","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14028edf0","[Unknown]","0x14028edf0"
"func@0x14027f970","0","0","0","220000","110000","0","ntoskrnl.exe","func@0x14027f970","[Unknown]","0x14027f970"
"func@0x1402feccf","0","0","0","220000","0","0","ntoskrnl.exe","func@0x1402feccf","[Unknown]","0x1402feccf"
"func@0x1402a00f0","0","0","0","440000","0","0","ntoskrnl.exe","func@0x1402a00f0","[Unknown]","0x1402a00f0"
"func@0x1405f4640","0","0","0","0","110000","0","atc.sys","func@0x1405f4640","[Unknown]","0x1405f4640"
"func@0x140482698","0","0","0","0","110000","0","atc.sys","func@0x140482698","[Unknown]","0x140482698"
"func@0x1401c07d4","0","0","0","0","0","0","atc.sys","func@0x1401c07d4","[Unknown]","0x1401c07d4"
"func@0x14030fd80","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14030fd80","[Unknown]","0x14030fd80"
"func@0x140002700","0","0","0","0","0","0","intelppm.sys","func@0x140002700","[Unknown]","0x140002700"
"func@0x14029d84b","0","0","0","220000","0","0","ntoskrnl.exe","func@0x14029d84b","[Unknown]","0x14029d84b"
"func@0x14029eb50","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14029eb50","[Unknown]","0x14029eb50"
"RtlNumberOfSetBitsEx","0","0","0","0","330000","0","ntoskrnl.exe","RtlNumberOfSetBitsEx","[Unknown]","0x14040ad60"
"func@0x14027595c","0","0","0","0","110000","0","ntoskrnl.exe","func@0x14027595c","[Unknown]","0x14027595c"
