"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"func@0x1406ae6c0","0.00389998","0.142857","0","1760000","1210000","0","ntoskrnl.exe","func@0x1406ae6c0","[Unknown]","0x1406ae6c0"
"func@0x140201850","0.00359998","0.166667","0","13640000","10230000","0","ntoskrnl.exe","func@0x140201850","[Unknown]","0x140201850"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00359998","0.0833333","0","15180000","5170000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264ce"
"STBImageReader::saveJPGImage","0.00299999","0","0","18920000","8470000","0","kip_sequential_soa_profile.exe","STBImageReader::saveJPGImage(class Image const &,class std::filesystem::path const &)","STBImageReader.cpp","0x14000e7e0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00269999","0","0","16940000","0","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x140025f22"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00269999","0","0","12100000","3520000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264d6"
"func@0x140241a70","0.00239999","0.666667","0","2200000","1980000","0","ntoskrnl.exe","func@0x140241a70","[Unknown]","0x140241a70"
"func@0x14030f65d","0.00239999","0.125","0","1100000","2860000","0","ntoskrnl.exe","func@0x14030f65d","[Unknown]","0x14030f65d"
"func@0x1403441f5","0.00209999","0.833333","0","3960000","1540000","0","ntoskrnl.exe","func@0x1403441f5","[Unknown]","0x1403441f5"
"stbi__jpeg_dequantize","0.00209999","0","0","1320000","220000","0","kip_sequential_soa_profile.exe","stbi__jpeg_dequantize","stb_image.h","0x140013ac0"
"func@0x1402f88d0","0.00209999","0.25","0","3520000","1100000","0","ntoskrnl.exe","func@0x1402f88d0","[Unknown]","0x1402f88d0"
"func@0x140344510","0.00209999","1","0","1980000","5390000","0","ntoskrnl.exe","func@0x140344510","[Unknown]","0x140344510"
"func@0x14024bee0","0.00179999","0","0","880000","660000","0","ntoskrnl.exe","func@0x14024bee0","[Unknown]","0x14024bee0"
"ExpInterlockedPopEntrySList","0.00179999","0.4","0","1100000","550000","0","ntoskrnl.exe","ExpInterlockedPopEntrySList","[Unknown]","0x1406b5160"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00179999","0","0","5720000","2310000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264df"
"func@0x1400010e0","0.00149999","1","0","0","0","0","intelppm.sys","func@0x1400010e0","[Unknown]","0x1400010e0"
"stbiw__jpg_writeBits","0.00149999","0","0","4840000","1650000","0","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024939"
"stbiw__jpg_DCT","0.00149999","0","0","1320000","1430000","0","kip_sequential_soa_profile.exe","stbiw__jpg_DCT","stb_image_write.h","0x14002416b"
"stbi__jpeg_huff_decode","0.00149999","0","0","5060000","2420000","0","kip_sequential_soa_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x140021d87"
"func@0x140332f40","0.00149999","0.25","0","440000","330000","0","ntoskrnl.exe","func@0x140332f40","[Unknown]","0x140332f40"
"func@0x1403440b0","0.00149999","0","0","1320000","220000","0","ntoskrnl.exe","func@0x1403440b0","[Unknown]","0x1403440b0"
"func@0x14030ac66","0.00149999","0","0","0","220000","0","ntoskrnl.exe","func@0x14030ac66","[Unknown]","0x14030ac66"
"func@0x1406b3ad0","0.00149999","0","0","0","330000","0","ntoskrnl.exe","func@0x1406b3ad0","[Unknown]","0x1406b3ad0"
"fwrite","0.00149999","0","0","3520000","1980000","0","ucrtbase.dll","fwrite","[Unknown]","0x18001b760"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00149999","1","0","3740000","1650000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e54a"
"RtlCopyMemory","0.00149999","1","0","880000","550000","110044","ntoskrnl.exe","RtlCopyMemory","[Unknown]","0x1406c1440"
"func@0x140226fb0","0.00119999","0","0","660000","660000","0","ntoskrnl.exe","func@0x140226fb0","[Unknown]","0x140226fb0"
"func@0x1402e8090","0.00119999","0","0","0","110000","0","ntoskrnl.exe","func@0x1402e8090","[Unknown]","0x1402e8090"
"func@0x14041bb67","0.00119999","0","0","1760000","110000","0","ntoskrnl.exe","func@0x14041bb67","[Unknown]","0x14041bb67"
"stbi__extend_receive","0.00119999","0","0","5060000","3300000","0","kip_sequential_soa_profile.exe","stbi__extend_receive","stb_image.h","0x140021e0d"
"func@0x14027b070","0.00119999","0","0","0","110000","0","ntoskrnl.exe","func@0x14027b070","[Unknown]","0x14027b070"
"stbi__mul2shorts_valid","0.00119999","0","0","2200000","1320000","0","kip_sequential_soa_profile.exe","stbi__mul2shorts_valid","stb_image.h","0x140021fa6"
"func@0x14024ed2a","0.00119999","0.2","0","1540000","0","0","ntoskrnl.exe","func@0x14024ed2a","[Unknown]","0x14024ed2a"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00119999","0","0","1980000","1210000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e92c"
"stbiw__jpg_writeBits","0.00119999","0","0","3300000","990000","0","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024800"
"func@0x140282b40","0.000899996","0","0","0","110000","0","ntoskrnl.exe","func@0x140282b40","[Unknown]","0x140282b40"
"stbi__extend_receive","0.000899996","0","0","440000","0","0","kip_sequential_soa_profile.exe","stbi__extend_receive","stb_image.h","0x140012f6c"
"func@0x1406a7250","0.000899996","0","0","0","330000","0","ntoskrnl.exe","func@0x1406a7250","[Unknown]","0x1406a7250"
"func@0x14029fac0","0.000899996","1","0","440000","770000","0","ntoskrnl.exe","func@0x14029fac0","[Unknown]","0x14029fac0"
"RtlAnsiCharToUnicodeChar","0.000899996","0","0","220000","0","0","ntdll.dll","RtlAnsiCharToUnicodeChar","[Unknown]","0x1800bd8a0"
"func@0x1402fcd10","0.000899996","1","0","1320000","550000","0","ntoskrnl.exe","func@0x1402fcd10","[Unknown]","0x1402fcd10"
"func@0x14024d940","0.000899996","0","","220000","330000","55022","ntoskrnl.exe","func@0x14024d940","[Unknown]","0x14024d940"
"func@0x1402fd4b0","0.000899996","0","0","220000","330000","0","ntoskrnl.exe","func@0x1402fd4b0","[Unknown]","0x1402fd4b0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000899996","0","0","1100000","220000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e903"
"func@0x18000bf20","0.000899996","0","0","5280000","880000","0","ucrtbase.dll","func@0x18000bf20","[Unknown]","0x18000bf20"
"func@0x18001b8a0","0.000899996","0","0","2640000","7040000","0","ucrtbase.dll","func@0x18001b8a0","[Unknown]","0x18001b8a0"
"stbi__jpeg_finish","0.000599997","0","0","880000","110000","0","kip_sequential_soa_profile.exe","stbi__jpeg_finish","stb_image.h","0x140013a23"
"func@0x1405f8e00","0.000599997","0","0","220000","330000","0","atc.sys","func@0x1405f8e00","[Unknown]","0x1405f8e00"
"ExAcquireCacheAwarePushLockSharedEx","0.000599997","0","0","0","220000","0","ntoskrnl.exe","ExAcquireCacheAwarePushLockSharedEx","[Unknown]","0x140314790"
"func@0x18001b950","0.000599997","0","0","2640000","4510000","0","ucrtbase.dll","func@0x18001b950","[Unknown]","0x18001b950"
"func@0x1402c6150","0.000599997","0.333333","0","660000","770000","0","ntoskrnl.exe","func@0x1402c6150","[Unknown]","0x1402c6150"
"func@0x18001b850","0.000599997","0","0","2640000","1760000","0","ucrtbase.dll","func@0x18001b850","[Unknown]","0x18001b850"
"func@0x140242e20","0.000599997","0","0","220000","880000","0","ntoskrnl.exe","func@0x140242e20","[Unknown]","0x140242e20"
"func@0x1402a1bf0","0.000599997","0","0","0","330000","0","ntoskrnl.exe","func@0x1402a1bf0","[Unknown]","0x1402a1bf0"
"func@0x1406bf883","0.000599997","0","0","220000","110000","0","ntoskrnl.exe","func@0x1406bf883","[Unknown]","0x1406bf883"
"fread","0.000599997","0","0","660000","110000","0","ucrtbase.dll","fread","[Unknown]","0x18001de00"
"func@0x1402ce820","0.000599997","0","0","0","110000","0","ntoskrnl.exe","func@0x1402ce820","[Unknown]","0x1402ce820"
"func@0x14027cf20","0.000599997","0","0","660000","770000","0","ntoskrnl.exe","func@0x14027cf20","[Unknown]","0x14027cf20"
"ExFreePoolWithTag","0.000599997","0","0","220000","110000","0","ntoskrnl.exe","ExFreePoolWithTag","[Unknown]","0x140b74870"
"func@0x140298af0","0.000599997","0","0","220000","220000","0","ntoskrnl.exe","func@0x140298af0","[Unknown]","0x140298af0"
"func@0x14023c870","0.000599997","0","0","660000","330000","0","ntoskrnl.exe","func@0x14023c870","[Unknown]","0x14023c870"
"func@0x140250fc0","0.000599997","0","0","1320000","770000","0","ntoskrnl.exe","func@0x140250fc0","[Unknown]","0x140250fc0"
"func@0x1404f1d10","0.000599997","0","0","1100000","220000","0","ntoskrnl.exe","func@0x1404f1d10","[Unknown]","0x1404f1d10"
"stbiw__jpg_calcBits","0.000599997","0","0","2640000","1650000","0","kip_sequential_soa_profile.exe","stbiw__jpg_calcBits","stb_image_write.h","0x140024930"
"func@0x1402498a0","0.000599997","1","0","3300000","1100000","0","ntoskrnl.exe","func@0x1402498a0","[Unknown]","0x1402498a0"
"func@0x1402fe9a0","0.000599997","1","0","1540000","770000","0","ntoskrnl.exe","func@0x1402fe9a0","[Unknown]","0x1402fe9a0"
"func@0x1402402c0","0.000599997","0","0","0","0","0","ntoskrnl.exe","func@0x1402402c0","[Unknown]","0x1402402c0"
"func@0x140296dd2","0.000599997","0","0","220000","0","0","ntoskrnl.exe","func@0x140296dd2","[Unknown]","0x140296dd2"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000599997","0","0","3520000","2310000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264f1"
"func@0x140331740","0.000599997","0.5","0","440000","220000","0","ntoskrnl.exe","func@0x140331740","[Unknown]","0x140331740"
"func@0x1402a03b0","0.000599997","0","0","660000","660000","0","ntoskrnl.exe","func@0x1402a03b0","[Unknown]","0x1402a03b0"
"func@0x1402fe397","0.000599997","0","0","880000","330000","0","ntoskrnl.exe","func@0x1402fe397","[Unknown]","0x1402fe397"
"memcpy","0.000599997","0","0","660000","550000","0","ucrtbase.dll","memcpy","[Unknown]","0x1800ee2d0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000599997","0","0","220000","550000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e53a"
"func@0x1406b4410","0.000599997","0","0","0","0","0","ntoskrnl.exe","func@0x1406b4410","[Unknown]","0x1406b4410"
"func@0x140311af2","0.000599997","0","0","1320000","1100000","0","ntoskrnl.exe","func@0x140311af2","[Unknown]","0x140311af2"
"stbi__stdio_read","0.000599997","0","0","220000","110000","0","kip_sequential_soa_profile.exe","stbi__stdio_read(void *, char *, int)","stb_image.h","0x14000ecb0"
"func@0x14027ae90","0.000599997","0","0","0","220000","0","ntoskrnl.exe","func@0x14027ae90","[Unknown]","0x14027ae90"
"func@0x14024e770","0.000599997","0","0","440000","880000","0","ntoskrnl.exe","func@0x14024e770","[Unknown]","0x14024e770"
"func@0x1402783ef","0.000599997","0","0","0","220000","0","ntoskrnl.exe","func@0x1402783ef","[Unknown]","0x1402783ef"
"func@0x1403637e0","0.000599997","0","0","880000","550000","0","ntoskrnl.exe","func@0x1403637e0","[Unknown]","0x1403637e0"
"func@0x1402a06c0","0.000599997","","0","0","220000","0","ntoskrnl.exe","func@0x1402a06c0","[Unknown]","0x1402a06c0"
"func@0x1402d14a0","0.000599997","0","0","0","0","0","ntoskrnl.exe","func@0x1402d14a0","[Unknown]","0x1402d14a0"
"func@0x14031bf10","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14031bf10","[Unknown]","0x14031bf10"
"func@0x14029e750","0.000299999","0","0","0","110000","0","ntoskrnl.exe","func@0x14029e750","[Unknown]","0x14029e750"
"func@0x18002e540","0.000299999","0","0","0","0","0","bdhkm64.dll","func@0x18002e540","[Unknown]","0x18002e540"
"func@0x180006dfc","0.000299999","0","0","0","0","0","apphelp.dll","func@0x180006dfc","[Unknown]","0x180006dfc"
"func@0x1f154","0.000299999","0","0","0","0","0","sepdrv5.sys","func@0x1f154","[Unknown]","0x1f154"
"func@0x18001c080","0.000299999","0","0","0","0","0","atcuf64.dll","func@0x18001c080","[Unknown]","0x18001c080"
"func@0x18004152e","0.000299999","0","0","880000","550000","0","ntdll.dll","func@0x18004152e","[Unknown]","0x18004152e"
"RtlAcquireSRWLockShared","0.000299999","0","0","0","110000","0","ntdll.dll","RtlAcquireSRWLockShared","[Unknown]","0x18003cc20"
"func@0x180127b8c","0.000299999","0","0","0","0","0","ntdll.dll","func@0x180127b8c","[Unknown]","0x180127b8c"
