"CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"0.0103","0","0","29100000","16800000","0","ucrtbase.dll","func@0x180016f80","[Unknown]","0x180016f80"
"0.0102","0","0","19600000","2900000","0","kip_sequential_profile.exe","stbi__parse_entropy_coded_data(struct stbi__jpeg *)","stb_image.h","0x14001a9c0"
"0.00999996","1","0","400000","400000","50020","ntoskrnl.exe","func@0x1403e5bc0","[Unknown]","0x1403e5bc0"
"0.00959996","0.206897","0","31400000","31300000","0","kip_sequential_profile.exe","std::_Uninitialized_backout_al<std::allocator<Pixel> >::_Emplace_back","xmemory","0x1400215e0"
"0.00949996","0","0","29000000","10900000","0","kip_sequential_profile.exe","stbiw__putc(struct stbi__write_context *, unsigned char)","stb_image_write.h","0x14001ff00"
"0.00929996","0.607143","0","200000","100000","0","vcruntime140.dll","func@0x180011a70","[Unknown]","0x180011a70"
"0.00899996","0.444444","0","14700000","12500000","0","ntoskrnl.exe","func@0x1402880c0","[Unknown]","0x1402880c0"
"0.00889996","0.238095","0","20400000","23100000","0","kip_sequential_profile.exe","std::_Uninitialized_copy","xmemory","0x140021b2e"
"0.00839996","0","0","15500000","2400000","0","kip_sequential_profile.exe","stbi__resample_row_hv_2_simd(unsigned char *, unsigned char *, unsigned char *, int, int)","stb_image.h","0x140017f10"
"0.00829996","0.461538","0","2200000","2700000","0","ntoskrnl.exe","func@0x1402c2af0","[Unknown]","0x1402c2af0"
"0.00789997","0.0833333","","4600000","3100000","0","ntoskrnl.exe","func@0x1406acbf0","[Unknown]","0x1406acbf0"
"0.00779997","0.1875","0","14500000","8400000","0","ntoskrnl.exe","func@0x1402b2b60","[Unknown]","0x1402b2b60"
"0.00769997","0.294118","0","4000000","4000000","0","kip_sequential_profile.exe","stbi__jpeg_decode_block_prog_dc(struct stbi__jpeg *, short *, struct stbi__huffman *, int)","stb_image.h","0x14001b9e0"
"0.00759997","0.666667","0","7200000","3000000","0","ntoskrnl.exe","func@0x1402678a0","[Unknown]","0x1402678a0"
"0.00759997","0.0625","0","6300000","3800000","0","kip_sequential_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x14001c000"
"0.00749997","0","0","34700000","83200000","0","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x14000b5ed"
"0.00699997","0.333333","0","200000","200000","0","intelppm.sys","func@0x1c00010e0","[Unknown]","0x1c00010e0"
"0.00669997","0.0833333","0","10100000","4300000","0","ntoskrnl.exe","KeClockInterruptNotify","[Unknown]","0x14028e9e0"
"0.00649997","0.388889","0","6800000","5300000","0","ntoskrnl.exe","func@0x140352476","[Unknown]","0x140352476"
"0.00609997","0","0","12200000","6000000","0","kip_sequential_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x14001c1a0"
"0.00579997","0.0714286","0","3100000","2000000","0","ntdll.dll","func@0x180045470","[Unknown]","0x180045470"
"0.00559998","0.25","0","14500000","10600000","0","ntoskrnl.exe","func@0x14032d0b0","[Unknown]","0x14032d0b0"
"0.00559998","0.363636","0","1300000","5600000","0","ntoskrnl.exe","func@0x1402ae130","[Unknown]","0x1402ae130"
"0.00539998","0","0","6500000","18700000","0","ucrtbase.dll","func@0x1800364f0","[Unknown]","0x1800364f0"
"0.00519998","0","0","5200000","5600000","0","ucrtbase.dll","memcpy","[Unknown]","0x1800edb00"
"0.00509998","0.2","0","8300000","7900000","200080","ntoskrnl.exe","func@0x1402687b0","[Unknown]","0x1402687b0"
"0.00499998","0.333333","0","7800000","3300000","0","ntoskrnl.exe","func@0x1402dcd30","[Unknown]","0x1402dcd30"
"0.00489998","0.285714","0","6700000","2800000","0","ntoskrnl.exe","func@0x140288910","[Unknown]","0x140288910"
"0.00489998","0","0","6800000","13900000","0","ntdll.dll","func@0x18007a159","[Unknown]","0x18007a159"
"0.00469998","0.7","0","2700000","800000","0","ntdll.dll","func@0x180014440","[Unknown]","0x180014440"
"0.00449998","0.6","0","15400000","3300000","0","ntoskrnl.exe","func@0x1403d1bf0","[Unknown]","0x1403d1bf0"
"0.00429998","0.571429","0","7300000","4700000","0","ntoskrnl.exe","func@0x1402b25d0","[Unknown]","0x1402b25d0"
"0.00389998","0.5","0","4800000","5200000","50020","ntoskrnl.exe","func@0x14022bdb0","[Unknown]","0x14022bdb0"
"0.00379998","0","0","3100000","4300000","0","ntoskrnl.exe","func@0x1402362b0","[Unknown]","0x1402362b0"
"0.00379998","0.0909091","0","5100000","3000000","0","ntoskrnl.exe","func@0x1402781e0","[Unknown]","0x1402781e0"
"0.00369998","0.384615","0","2000000","2800000","0","ntoskrnl.exe","func@0x140240a60","[Unknown]","0x140240a60"
"0.00359998","0.428571","0","11300000","10500000","0","kip_sequential_profile.exe","std::_Uninitialized_copy","xmemory","0x1400215ce"
"0.00339999","0.5","0","3300000","2800000","50020","ntoskrnl.exe","RtlCopyMemory","[Unknown]","0x1406ba640"
"0.00329999","0","0","3400000","1700000","0","kip_sequential_profile.exe","stbi__get8","stb_image.h","0x14001b8e3"
"0.00329999","0.285714","0","3500000","1800000","0","ntoskrnl.exe","func@0x140366980","[Unknown]","0x140366980"
"0.00319999","1","0","1700000","400000","50020","ntoskrnl.exe","func@0x1403cf5a0","[Unknown]","0x1403cf5a0"
"0.00309999","0","0","14100000","6100000","0","ntdll.dll","func@0x18007a2ce","[Unknown]","0x18007a2ce"
"0.00309999","0","0","1000000","900000","0","ntoskrnl.exe","func@0x140226c30","[Unknown]","0x140226c30"
"0.00309999","1","0","2500000","1300000","0","kip_sequential_profile.exe","stbi__jpeg_dequantize(short *, unsigned short *)","stb_image.h","0x14001c460"
"0.00299999","0.1","0","3100000","2200000","0","ntoskrnl.exe","func@0x1402191b0","[Unknown]","0x1402191b0"
"0.00289999","0.222222","0","2500000","1700000","0","ntoskrnl.exe","func@0x1402bedb0","[Unknown]","0x1402bedb0"
"0.00279999","0.4","0","4000000","1500000","0","ntoskrnl.exe","func@0x1403664d0","[Unknown]","0x1403664d0"
"0.00269999","0.363636","0","2100000","1600000","0","ntoskrnl.exe","func@0x14028ede3","[Unknown]","0x14028ede3"
"0.00259999","0.6","0","1300000","1100000","0","ntoskrnl.exe","func@0x140289576","[Unknown]","0x140289576"
"0.00249999","0","0","2300000","1300000","0","ntoskrnl.exe","func@0x14028f59a","[Unknown]","0x14028f59a"
"0.00249999","0.2","0.297619","400000","100000","0","ntoskrnl.exe","func@0x1406ad85f","[Unknown]","0x1406ad85f"
"0.00249999","0.333333","0","1900000","4000000","0","ntoskrnl.exe","func@0x1402c7c77","[Unknown]","0x1402c7c77"
