"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0.000204452","12055032","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x140022cb4"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","0.000204322","6057487","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x140022cb8"
"malloc","0.000204296","362179","","ucrtbase.dll","malloc","[Unknown]","0x180015e00"
"stbi__jpeg_load","0.000204114","0","","kip_sequential_profile.exe","stbi__jpeg_load(struct stbi__context *, int *, int *, int *, int, struct stbi__result_info *)","stb_image.h","0x14000e8f0"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","0.000204088","710716","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x1400222e0"
"func@0x14050d4c0","0.000148827","354964","","ntoskrnl.exe","func@0x14050d4c0","[Unknown]","0x14050d4c0"
"IoAcquireRemoveLockEx","0.0001344","0","","ntoskrnl.exe","IoAcquireRemoveLockEx","[Unknown]","0x140448170"
"func@0x14013b400","0.000128906","0","","igdkmdn64.sys","func@0x14013b400","[Unknown]","0x14013b400"
"func@0x140042e40","0.000128515","320362","","igdkmdn64.sys","func@0x140042e40","[Unknown]","0x140042e40"
"KfRaiseIrql","0.000127317","0","","ntoskrnl.exe","KfRaiseIrql","[Unknown]","0x1404159e0"
"func@0x1403cfe70","0.000126093","0","","ntoskrnl.exe","func@0x1403cfe70","[Unknown]","0x1403cfe70"
"std::make_unique","0.00012414","308061","","kip_sequential_profile.exe","std::make_unique","memory","0x14000b61d"
"func@0x14030b420","0.000122838","304034","","igdkmdn64.sys","func@0x14030b420","[Unknown]","0x14030b420"
"func@0x140143db0","0.000120182","0","","igdkmdn64.sys","func@0x140143db0","[Unknown]","0x140143db0"
"func@0x140287c5c","0.000118229","0","","ntoskrnl.exe","func@0x140287c5c","[Unknown]","0x140287c5c"
"func@0x14014d1e0","0.000117838","0","","igdkmdn64.sys","func@0x14014d1e0","[Unknown]","0x14014d1e0"
"func@0x1401800d0","0.000116354","0","","igdkmdn64.sys","func@0x1401800d0","[Unknown]","0x1401800d0"
"KeQueryPerformanceCounter","0.000114713","0","","ntoskrnl.exe","KeQueryPerformanceCounter","[Unknown]","0x140365f00"
"func@0x14009ca50","0.000114505","0","","igdkmdn64.sys","func@0x14009ca50","[Unknown]","0x14009ca50"
"func@0x14043b163","0.00011375","373944","","ntoskrnl.exe","func@0x14043b163","[Unknown]","0x14043b163"
"func@0x14012fb90","0.000112187","0","","igdkmdn64.sys","func@0x14012fb90","[Unknown]","0x14012fb90"
"func@0x140037450","0.000112135","0","","igdkmdn64.sys","func@0x140037450","[Unknown]","0x140037450"
"func@0x1404f4e50","0.000112083","0","","ntoskrnl.exe","func@0x1404f4e50","[Unknown]","0x1404f4e50"
"func@0x140037ed0","0.000112083","0","","igdkmdn64.sys","func@0x140037ed0","[Unknown]","0x140037ed0"
"func@0x14041e82c","0.000112005","0","","ntoskrnl.exe","func@0x14041e82c","[Unknown]","0x14041e82c"
"func@0x14003e4f0","0.000111744","0","","igdkmdn64.sys","func@0x14003e4f0","[Unknown]","0x14003e4f0"
"func@0x140318110","0.000110989","0","","igdkmdn64.sys","func@0x140318110","[Unknown]","0x140318110"
"func@0x1403d0970","0.000109791","760260","","ntoskrnl.exe","func@0x1403d0970","[Unknown]","0x1403d0970"
"func@0x1403d1528","0.00010901","640130","","ntoskrnl.exe","func@0x1403d1528","[Unknown]","0x1403d1528"
"func@0x1c00050f0","0.000108828","369771","","dxgmms2.sys","func@0x1c00050f0","[Unknown]","0x1c00050f0"
"func@0x1404bb9b8","0.000108593","293053","","ntoskrnl.exe","func@0x1404bb9b8","[Unknown]","0x1404bb9b8"
"func@0x14013cef0","0.000108567","295228","","igdkmdn64.sys","func@0x14013cef0","[Unknown]","0x14013cef0"
"func@0x1403b6220","0.000108151","0","","igdkmdn64.sys","func@0x1403b6220","[Unknown]","0x1403b6220"
"func@0x1402bea40","0.000107734","0","","igdkmdn64.sys","func@0x1402bea40","[Unknown]","0x1402bea40"
"func@0x1403b3990","0.000107135","0","","ntoskrnl.exe","func@0x1403b3990","[Unknown]","0x1403b3990"
"func@0x1800360d0","0.000106927","274837","","ucrtbase.dll","func@0x1800360d0","[Unknown]","0x1800360d0"
"func@0x14023a960","0.00010677","305772","","ntoskrnl.exe","func@0x14023a960","[Unknown]","0x14023a960"
"func@0x140436132","0.000106666","0","","ntoskrnl.exe","func@0x140436132","[Unknown]","0x140436132"
"func@0x1c000efa0","0.000106536","0","","dxgmms2.sys","func@0x1c000efa0","[Unknown]","0x1c000efa0"
"KePulseEvent","0.000106432","0","","ntoskrnl.exe","KePulseEvent","[Unknown]","0x140481180"
"func@0x1400546a0","0.000106432","0","","igdkmdn64.sys","func@0x1400546a0","[Unknown]","0x1400546a0"
"func@0x140196000","0.000106354","0","","igdkmdn64.sys","func@0x140196000","[Unknown]","0x140196000"
"[dxgmms2.sys]","0.00010625","0","","dxgmms2.sys","[dxgmms2.sys]","[Unknown]","0"
"func@0x1400563b0","0.000106015","0","","igdkmdn64.sys","func@0x1400563b0","[Unknown]","0x1400563b0"
"func@0x1403cd510","0.000105677","349857","","ntoskrnl.exe","func@0x1403cd510","[Unknown]","0x1403cd510"
"func@0x1403279f0","0.000105546","0","","igdkmdn64.sys","func@0x1403279f0","[Unknown]","0x1403279f0"
"func@0x18007a2ce","0.000105442","299324","","ntdll.dll","func@0x18007a2ce","[Unknown]","0x18007a2ce"
"func@0x140352476","0.00010539","0","","ntoskrnl.exe","func@0x140352476","[Unknown]","0x140352476"
"KeSetTimer","0.000105286","0","","ntoskrnl.exe","KeSetTimer","[Unknown]","0x140350f60"
"func@0x18017246e","0.00010526","334368","","ntdll.dll","func@0x18017246e","[Unknown]","0x18017246e"
"func@0x1406add80","0.000105156","0","","ntoskrnl.exe","func@0x1406add80","[Unknown]","0x1406add80"
"func@0x1406ad370","0.00010513","0","","ntoskrnl.exe","func@0x1406ad370","[Unknown]","0x1406ad370"
"KeFindFirstSetRightAffinityEx","0.000105104","343249","","ntoskrnl.exe","KeFindFirstSetRightAffinityEx","[Unknown]","0x14047bf00"
"func@0x1c0007f40","0.000105","0","","dxgmms2.sys","func@0x1c0007f40","[Unknown]","0x1c0007f40"
"func@0x140241357","0.000104921","694493","","ntoskrnl.exe","func@0x140241357","[Unknown]","0x140241357"
"func@0x14022141c","0.000104843","0","","ntoskrnl.exe","func@0x14022141c","[Unknown]","0x14022141c"
"func@0x14043b4aa","0.000104687","0","","ntoskrnl.exe","func@0x14043b4aa","[Unknown]","0x14043b4aa"
"func@0x1c0002cb0","0.000104609","0","","intelppm.sys","func@0x1c0002cb0","[Unknown]","0x1c0002cb0"
"func@0x14027f028","0.000104583","0","","ntoskrnl.exe","func@0x14027f028","[Unknown]","0x14027f028"
"std::_Insert_string<char,std::char_traits<char>,unsigned long long>","0.000104453","0","","kip_sequential_profile.exe","std::_Insert_string<char,std::char_traits<char>,unsigned long long>(class basic_ostream<char,std::char_traits<char> > & const, const char *, const unsigned __int64)","__msvc_string_view.hpp","0x140003500"
"NtTraceControl","0.000104192","0","","ntoskrnl.exe","NtTraceControl","[Unknown]","0x14099c220"
"std::_Default_allocator_traits<std::allocator<Pixel> >::construct","0.000104166","707781","","kip_sequential_profile.exe","std::_Default_allocator_traits<std::allocator<Pixel> >::construct","xmemory","0x1400215e0"
"func@0x1402c5e30","0.00010414","322636","","ntoskrnl.exe","func@0x1402c5e30","[Unknown]","0x1402c5e30"
"func@0x1404f6514","0.000104114","359598","","ntoskrnl.exe","func@0x1404f6514","[Unknown]","0x1404f6514"
"KeIsEqualAffinityEx","0.000103932","0","","ntoskrnl.exe","KeIsEqualAffinityEx","[Unknown]","0x140280a20"
"func@0x1c0003110","0.000103906","0","","partmgr.sys","func@0x1c0003110","[Unknown]","0x1c0003110"
"func@0x1403cba40","0.000103854","0","","ntoskrnl.exe","func@0x1403cba40","[Unknown]","0x1403cba40"
"func@0x1400128e7","0.000103828","0","","nllVmm.sys","func@0x1400128e7","[Unknown]","0x1400128e7"
"func@0x14029b960","0.000103828","387151","","ntoskrnl.exe","func@0x14029b960","[Unknown]","0x14029b960"
"func@0x140311be0","0.000103802","0","","ntoskrnl.exe","func@0x140311be0","[Unknown]","0x140311be0"
"func@0x18005a4c4","0.00010375","0","","KernelBase.dll","func@0x18005a4c4","[Unknown]","0x18005a4c4"
"func@0x1402be652","0.000103697","292946","","ntoskrnl.exe","func@0x1402be652","[Unknown]","0x1402be652"
"func@0x1c00262b0","0.000103671","0","","Wdf01000.sys","func@0x1c00262b0","[Unknown]","0x1c00262b0"
"std::basic_ostream<char,struct std::char_traits<char> >::operator<<","0.000103619","351708","","msvcp140.dll","std::basic_ostream<char,struct std::char_traits<char> >::operator<<(unsigned int)","[Unknown]","0x180042c30"
"std::filesystem::_Convert_Source_to_wide<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::filesystem::_Normal_conversion>","0.000103593","304024","","kip_sequential_profile.exe","std::filesystem::_Convert_Source_to_wide<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::filesystem::_Normal_conversion>(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,struct std::filesystem::_Normal_conversion)","filesystem","0x140003950"
"func@0x1c0001ea0","0.000103593","344853","","intelppm.sys","func@0x1c0001ea0","[Unknown]","0x1c0001ea0"
"func@0x140217140","0.000103567","0","","ntoskrnl.exe","func@0x140217140","[Unknown]","0x140217140"
"func@0x1403cf431","0.000103489","0","","ntoskrnl.exe","func@0x1403cf431","[Unknown]","0x1403cf431"
"func@0x1403e19e0","0.000103411","359351","","ntoskrnl.exe","func@0x1403e19e0","[Unknown]","0x1403e19e0"
"func@0x1c0013ce0","0.000103359","0","","dxgmms2.sys","func@0x1c0013ce0","[Unknown]","0x1c0013ce0"
"func@0x14032e262","0.000103255","0","","ntoskrnl.exe","func@0x14032e262","[Unknown]","0x14032e262"
"func@0x1403e8868","0.000103255","370172","","ntoskrnl.exe","func@0x1403e8868","[Unknown]","0x1403e8868"
"func@0x1402698f0","0.000103203","2025920","","ntoskrnl.exe","func@0x1402698f0","[Unknown]","0x1402698f0"
"func@0x140219dd2","0.000103203","371341","","ntoskrnl.exe","func@0x140219dd2","[Unknown]","0x140219dd2"
"fopen_s","0.000103203","0","","ucrtbase.dll","fopen_s","[Unknown]","0x18003b420"
"func@0x1c0039dc0","0.000103203","276091","","dxgkrnl.sys","func@0x1c0039dc0","[Unknown]","0x1c0039dc0"
"func@0x1402784e0","0.000103203","602479","","ntoskrnl.exe","func@0x1402784e0","[Unknown]","0x1402784e0"
"ExReleaseResourceLite","0.000103177","0","","ntoskrnl.exe","ExReleaseResourceLite","[Unknown]","0x14031eca0"
"func@0x1403d2d65","0.000103177","0","","ntoskrnl.exe","func@0x1403d2d65","[Unknown]","0x1403d2d65"
"func@0x14027d510","0.000103046","359815","","ntoskrnl.exe","func@0x14027d510","[Unknown]","0x14027d510"
"RtlRestoreLastWin32Error","0.00010302","358066","","ntdll.dll","RtlRestoreLastWin32Error","[Unknown]","0x180004df0"
"func@0x14024a7c0","0.00010302","276944","","ntoskrnl.exe","func@0x14024a7c0","[Unknown]","0x14024a7c0"
"func@0x1402bda50","0.00010302","364452","","ntoskrnl.exe","func@0x1402bda50","[Unknown]","0x1402bda50"
"func@0x1c0010784","0.000102994","0","","dxgmms2.sys","func@0x1c0010784","[Unknown]","0x1c0010784"
"func@0x1402893c0","0.000102968","1082650","","ntoskrnl.exe","func@0x1402893c0","[Unknown]","0x1402893c0"
"func@0x14021976e","0.000102942","0","","ntoskrnl.exe","func@0x14021976e","[Unknown]","0x14021976e"
"func@0x14030206d","0.000102916","0","","ntoskrnl.exe","func@0x14030206d","[Unknown]","0x14030206d"
"func@0x140277cb0","0.000102864","317822","","ntoskrnl.exe","func@0x140277cb0","[Unknown]","0x140277cb0"
"func@0x14028a1dc","0.000102838","359781","","ntoskrnl.exe","func@0x14028a1dc","[Unknown]","0x14028a1dc"
"func@0x1800fdee0","0.000102838","287276","","ntdll.dll","func@0x1800fdee0","[Unknown]","0x1800fdee0"
"KeQueryActiveProcessorCountEx","0.000102786","327964","","ntoskrnl.exe","KeQueryActiveProcessorCountEx","[Unknown]","0x1403ce290"
"func@0x180091078","0.00010276","0","","ntdll.dll","func@0x180091078","[Unknown]","0x180091078"
"func@0x140304f50","0.00010276","354017","","ntoskrnl.exe","func@0x140304f50","[Unknown]","0x140304f50"
"KeAcquireInStackQueuedSpinLock","0.000102708","0","","ntoskrnl.exe","KeAcquireInStackQueuedSpinLock","[Unknown]","0x140256270"
"KeReleaseInStackQueuedSpinLock","0.000102708","0","","ntoskrnl.exe","KeReleaseInStackQueuedSpinLock","[Unknown]","0x140257720"
"func@0x14047c178","0.000102682","357819","","ntoskrnl.exe","func@0x14047c178","[Unknown]","0x14047c178"
"func@0x1800469bc","0.00010263","0","","KernelBase.dll","func@0x1800469bc","[Unknown]","0x1800469bc"
"func@0x140288ddd","0.00010263","300888","","ntoskrnl.exe","func@0x140288ddd","[Unknown]","0x140288ddd"
"func@0x180172420","0.000102604","0","","ntdll.dll","func@0x180172420","[Unknown]","0x180172420"
"SeAccessCheckWithHint","0.000102604","0","","ntoskrnl.exe","SeAccessCheckWithHint","[Unknown]","0x14037e020"
"func@0x140a14570","0.000102578","346021","","ntoskrnl.exe","func@0x140a14570","[Unknown]","0x140a14570"
"RtlUnicodeToMultiByteN","0.000102578","361107","","ntdll.dll","RtlUnicodeToMultiByteN","[Unknown]","0x18006a400"
"RtlAnsiCharToUnicodeChar","0.000102578","304802","","ntdll.dll","RtlAnsiCharToUnicodeChar","[Unknown]","0x1800da5e0"
"func@0x1402b33f0","0.000102552","0","","ntoskrnl.exe","func@0x1402b33f0","[Unknown]","0x1402b33f0"
"func@0x180043e11","0.000102552","0","","ntdll.dll","func@0x180043e11","[Unknown]","0x180043e11"
"func@0x1401379a0","0.000102552","311092","","igdkmdn64.sys","func@0x1401379a0","[Unknown]","0x1401379a0"
"func@0x1408b2733","0.000102526","0","","ntoskrnl.exe","func@0x1408b2733","[Unknown]","0x1408b2733"
"stbi__jpeg_get_bit","0.000102526","0","","kip_sequential_profile.exe","stbi__jpeg_get_bit","stb_image.h","0x14001bd95"
"func@0x1c014ec50","0.000102474","0","","Ntfs.sys","func@0x1c014ec50","[Unknown]","0x1c014ec50"
"func@0x1402f75d0","0.000102474","0","","ntoskrnl.exe","func@0x1402f75d0","[Unknown]","0x1402f75d0"
"func@0x140381d70","0.000102447","345619","","ntoskrnl.exe","func@0x140381d70","[Unknown]","0x140381d70"
"func@0x1403717f0","0.000102447","368483","","ntoskrnl.exe","func@0x1403717f0","[Unknown]","0x1403717f0"
"RtlAcquireSRWLockExclusive","0.000102421","0","","ntdll.dll","RtlAcquireSRWLockExclusive","[Unknown]","0x180091c50"
"stbi__jpeg_get_bits","0.000102395","0","","kip_sequential_profile.exe","stbi__jpeg_get_bits","stb_image.h","0x14001c36c"
"func@0x1800d3f33","0.000102395","268900","","ntdll.dll","func@0x1800d3f33","[Unknown]","0x1800d3f33"
"func@0x1800b8430","0.000102395","322612","","ntdll.dll","func@0x1800b8430","[Unknown]","0x1800b8430"
"stbi__refill_buffer","0.000102395","1695487","","kip_sequential_profile.exe","stbi__refill_buffer(struct stbi__context *)","stb_image.h","0x1400103c0"
"func@0x1404168c0","0.000102395","0","","ntoskrnl.exe","func@0x1404168c0","[Unknown]","0x1404168c0"
"[Import thunk free]","0.000102343","0","","kip_sequential_profile.exe","[Import thunk free]","[Unknown]","0x140027860"
"func@0x14036ae80","0.000102317","0","","ntoskrnl.exe","func@0x14036ae80","[Unknown]","0x14036ae80"
"func@0x140226c30","0.000102291","0","","ntoskrnl.exe","func@0x140226c30","[Unknown]","0x140226c30"
"stbi__get8","0.000102265","1728066","","kip_sequential_profile.exe","stbi__get8","stb_image.h","0x14001b91d"
"func@0x1402c75f0","0.000102239","360279","","ntoskrnl.exe","func@0x1402c75f0","[Unknown]","0x1402c75f0"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","0.000102213","9536006","","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x140022cb0"
"func@0x1403d061c","0.000102187","0","","ntoskrnl.exe","func@0x1403d061c","[Unknown]","0x1403d061c"
"func@0x1403cfda0","0.000102187","678210","","ntoskrnl.exe","func@0x1403cfda0","[Unknown]","0x1403cfda0"
"func@0x14022b626","0.000102005","287310","","ntoskrnl.exe","func@0x14022b626","[Unknown]","0x14022b626"
"func@0x180036180","0.000101041","278959","","ucrtbase.dll","func@0x180036180","[Unknown]","0x180036180"
"NtQueryValueKey","0.00010052","0","","ntdll.dll","NtQueryValueKey","[Unknown]","0x1801620a0"
"func@0x14029a050","0","315257","","ntoskrnl.exe","func@0x14029a050","[Unknown]","0x14029a050"
"func@0x140264364","0","302732","","ntoskrnl.exe","func@0x140264364","[Unknown]","0x140264364"
"func@0x140216b48","0","2594254","","ntoskrnl.exe","func@0x140216b48","[Unknown]","0x140216b48"
"NtAllocateVirtualMemory","0","610835","","ntdll.dll","NtAllocateVirtualMemory","[Unknown]","0x1801620c0"
"NtProtectVirtualMemory","0","270538","","ntdll.dll","NtProtectVirtualMemory","[Unknown]","0x1801627c0"
"NtWriteFile","0","661092","","ntdll.dll","NtWriteFile","[Unknown]","0x180161ec0"
"func@0x1403cefe0","0","359772","","ntoskrnl.exe","func@0x1403cefe0","[Unknown]","0x1403cefe0"
"NtReadFile","0","311051","","ntdll.dll","NtReadFile","[Unknown]","0x180161e80"
"func@0x140223e40","0","355718","","igdkmdn64.sys","func@0x140223e40","[Unknown]","0x140223e40"
"NtFreeVirtualMemory","0","395948","","ntdll.dll","NtFreeVirtualMemory","[Unknown]","0x180162180"
"func@0x1402b3a10","0","459942","","ntoskrnl.exe","func@0x1402b3a10","[Unknown]","0x1402b3a10"
"func@0x1402581f0","0","388229","","ntoskrnl.exe","func@0x1402581f0","[Unknown]","0x1402581f0"
"func@0x140217b50","0","315518","","ntoskrnl.exe","func@0x140217b50","[Unknown]","0x140217b50"
"func@0x1402af070","0","329753","","ntoskrnl.exe","func@0x1402af070","[Unknown]","0x1402af070"
"func@0x1c0030562","0","349622","","dxgmms2.sys","func@0x1c0030562","[Unknown]","0x1c0030562"
"func@0x1401032c0","0","369089","","igdkmdn64.sys","func@0x1401032c0","[Unknown]","0x1401032c0"
"func@0x140217340","0","361851","","igdkmdn64.sys","func@0x140217340","[Unknown]","0x140217340"
"func@0x180009800","0","386972","","ucrtbase.dll","func@0x180009800","[Unknown]","0x180009800"
"func@0x1402ae452","0","1899658","","ntoskrnl.exe","func@0x1402ae452","[Unknown]","0x1402ae452"
"NtWaitForWorkViaWorkerFactory","0","291811","","ntdll.dll","NtWaitForWorkViaWorkerFactory","[Unknown]","0x180165a70"
"func@0x1403303db","0","350812","","ntoskrnl.exe","func@0x1403303db","[Unknown]","0x1403303db"
"InterlockedPushListSList","0","362305","","ntoskrnl.exe","InterlockedPushListSList","[Unknown]","0x1406ae330"
"func@0x140178c80","0","361234","","igdkmdn64.sys","func@0x140178c80","[Unknown]","0x140178c80"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0","1348205","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x14000baa4"
"func@0x140898b30","0","453426","","ntoskrnl.exe","func@0x140898b30","[Unknown]","0x140898b30"
"func@0x1402e5ecc","0","406791","","ntoskrnl.exe","func@0x1402e5ecc","[Unknown]","0x1402e5ecc"
"stbi__stdio_read","0","547624","","kip_sequential_profile.exe","stbi__stdio_read(void *, char *, int)","stb_image.h","0x14000be60"
"func@0x1403cba91","0","366081","","ntoskrnl.exe","func@0x1403cba91","[Unknown]","0x1403cba91"
"func@0x1800da6eb","0","330162","","ntdll.dll","func@0x1800da6eb","[Unknown]","0x1800da6eb"
"KeReleaseSpinLock","0","358079","","ntoskrnl.exe","KeReleaseSpinLock","[Unknown]","0x14034d7e0"
"func@0x1402e5ea0","0","1621081","","ntoskrnl.exe","func@0x1402e5ea0","[Unknown]","0x1402e5ea0"
"[dxgkrnl.sys]","0","376053","","dxgkrnl.sys","[dxgkrnl.sys]","[Unknown]","0"
"stbi__jpeg_get_bits","0","705568","","kip_sequential_profile.exe","stbi__jpeg_get_bits","stb_image.h","0x14001bf8f"
"func@0x14027e650","0","361674","","ntoskrnl.exe","func@0x14027e650","[Unknown]","0x14027e650"
"std::_Default_allocator_traits<std::allocator<Pixel> >::construct","0","873569","","kip_sequential_profile.exe","std::_Default_allocator_traits<std::allocator<Pixel> >::construct","xmemory","0x140021b40"
"func@0x1c0001eda","0","412019","","intelppm.sys","func@0x1c0001eda","[Unknown]","0x1c0001eda"
"std::_Uninitialized_backout_al<std::allocator<Pixel> >::_Emplace_back","0","314703","","kip_sequential_profile.exe","std::_Uninitialized_backout_al<std::allocator<Pixel> >::_Emplace_back","xmemory","0x140021b40"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0","405933","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x140022faf"
