"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"func@0x1400128e7","0.000499998","2956800","2956800","1","","","","0","0","0","0","0","0","5.91363e+09","nllvmm.sys","func@0x1400128e7","[Unknown]","0x1400128e7"
"func@0x140288ca0","0.000499998","2150400","806400","2.66667","","0","","","0","0","0","0","0","4.30082e+09","ntoskrnl.exe","func@0x140288ca0","[Unknown]","0x140288ca0"
"func@0x140459f50","0.000499998","268800","1075200","0.25","0","0.1","0.9","0","0","0","0","0","0","5.37602e+08","ntoskrnl.exe","func@0x140459f50","[Unknown]","0x140459f50"
"func@0x140279aa0","0.000499998","268800","1075200","0.25","0","","","0","0","0","0","0","0","5.37602e+08","ntoskrnl.exe","func@0x140279aa0","[Unknown]","0x140279aa0"
"func@0x1402184a0","0.000499998","3494400","13440000","0.26","1","0.5","0","0","0","0","0","0","0","6.98883e+09","ntoskrnl.exe","func@0x1402184a0","[Unknown]","0x1402184a0"
"func@0x1402adde6","0.000499998","1612800","7257600","0.222222","","0","","0","0","0","0","0","0","3.22561e+09","ntoskrnl.exe","func@0x1402adde6","[Unknown]","0x1402adde6"
"func@0x180053940","0.000499998","1881600","1612800","1.16667","0","","","0","0","0","0","0","0","3.76322e+09","ntdll.dll","func@0x180053940","[Unknown]","0x180053940"
"func@0x1402dc830","0.000499998","1612800","2688000","0.6","0","0.2","0.8","0","0","0","0","0","0","3.22561e+09","ntoskrnl.exe","func@0x1402dc830","[Unknown]","0x1402dc830"
"func@0x14026cd40","0.000499998","1075200","537600","2","","0","","0","0","0","0","0","0","2.15041e+09","ntoskrnl.exe","func@0x14026cd40","[Unknown]","0x14026cd40"
"func@0x140219ab0","0.000499998","806400","1881600","0.428571","0","","","0","0","0","0","0","0","1.61281e+09","ntoskrnl.exe","func@0x140219ab0","[Unknown]","0x140219ab0"
"func@0x1402b38e0","0.000499998","1344000","5644800","0.238095","0","0","","","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402b38e0","[Unknown]","0x1402b38e0"
"stbi__extend_receive","0.000499998","4032000","3763200","1.07143","0","","","0","0","0","0","0","0","8.06404e+09","kip_sequential_profile.exe","stbi__extend_receive","stb_image.h","0x14001c0fd"
"func@0x14044a31f","0.000499998","2419200","268800","9","0","0","1","0","0","0","0","0","0","4.83842e+09","ntoskrnl.exe","func@0x14044a31f","[Unknown]","0x14044a31f"
"func@0x1402db1c0","0.000499998","1612800","268800","6","0","0","1","0","0","0","0","0","0","3.22561e+09","ntoskrnl.exe","func@0x1402db1c0","[Unknown]","0x1402db1c0"
"stbi__jpeg_finish","0.000499998","1612800","4300800","0.375","0","0","","","0","0","0","0","0","3.22561e+09","kip_sequential_profile.exe","stbi__jpeg_finish(struct stbi__jpeg *)","stb_image.h","0x14001b1f0"
"func@0x1403deb40","0.000499998","1881600","1612800","1.16667","0","0.1","0.9","0","0","0","0","0","0","3.76322e+09","ntoskrnl.exe","func@0x1403deb40","[Unknown]","0x1403deb40"
"func@0x1c0007d30","0.000499998","806400","1881600","0.428571","0","","","0","0","0","0","0","0","1.61281e+09","fltmgr.sys","func@0x1c0007d30","[Unknown]","0x1c0007d30"
"func@0x1402ae080","0.000499998","2150400","806400","2.66667","0","0","1","0","0","0","0","0","0","4.30082e+09","ntoskrnl.exe","func@0x1402ae080","[Unknown]","0x1402ae080"
"NtAllocateVirtualMemory","0.000499998","2150400","2688000","0.8","0","0.3","0.7","0","0","0","0","0","0","4.30082e+09","ntoskrnl.exe","NtAllocateVirtualMemory","[Unknown]","0x1408adef0"
"func@0x1402e0fe0","0.000499998","806400","537600","1.5","0","0","1","0","0","0","0","0","0","1.61281e+09","ntoskrnl.exe","func@0x1402e0fe0","[Unknown]","0x1402e0fe0"
"func@0x1403cf9d0","0.000499998","2419200","2419200","1","0","0","0","1","0","0","0","0","0","4.83842e+09","ntoskrnl.exe","func@0x1403cf9d0","[Unknown]","0x1403cf9d0"
"func@0x140216b48","0.000499998","537600","9139200","0.0588235","","","","0","0","0","0","0","0","1.0752e+09","ntoskrnl.exe","func@0x140216b48","[Unknown]","0x140216b48"
"func@0x14028f400","0.000499998","3225600","1612800","2","0","0","1","0","0","0","0","0","0","6.45123e+09","ntoskrnl.exe","func@0x14028f400","[Unknown]","0x14028f400"
"RtlAllocateHeap","0.000499998","2150400","0","","0","","","0","0","0","0","0","0","4.30082e+09","ntdll.dll","RtlAllocateHeap","[Unknown]","0x18000e690"
"func@0x1402a8fd0","0.000499998","2150400","1881600","1.14286","0","0","1","0","0","0","0","0","0","4.30082e+09","ntoskrnl.exe","func@0x1402a8fd0","[Unknown]","0x1402a8fd0"
"func@0x140241e40","0.000499998","806400","9408000","0.0857143","0.8","0.1","0.1","0","0","0","0","0","0","1.61281e+09","ntoskrnl.exe","func@0x140241e40","[Unknown]","0x140241e40"
"func@0x1403281e0","0.000399998","1344000","0","","0","0","1","0","0","0","0","0","0","3.36001e+09","igdkmdn64.sys","func@0x1403281e0","[Unknown]","0x1403281e0"
"ExFreePoolWithTag","0.000399998","1075200","2956800","0.363636","","","","","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","ExFreePoolWithTag","[Unknown]","0x140b69cd0"
"func@0x14036b6c0","0.000399998","806400","4300800","0.1875","0","","","0","0","0","0","0","0","2.01601e+09","ntoskrnl.exe","func@0x14036b6c0","[Unknown]","0x14036b6c0"
"func@0x1403b3990","0.000399998","806400","268800","3","0","0","1","0","0","0","0","0","0","2.01601e+09","ntoskrnl.exe","func@0x1403b3990","[Unknown]","0x1403b3990"
"func@0x1402ca3e0","0.000399998","0","537600","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x1402ca3e0","[Unknown]","0x1402ca3e0"
"func@0x1402b399d","0.000399998","1612800","1881600","0.857143","0.2","0","0.8","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x1402b399d","[Unknown]","0x1402b399d"
"std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","0.000399998","3225600","11558400","0.27907","","0","","0","0","0","0","0","0","8.06404e+09","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x140022cb0"
