"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"func@0x140483480","0.000299999","1075200","268800","4","0","0","1","0","0","0","0","0","0","3.58402e+09","igdkmdn64.sys","func@0x140483480","[Unknown]","0x140483480"
"func@0x1403b82d0","0.000299999","806400","268800","3","0","0","1","0","0","0","0","0","0","2.68801e+09","igdkmdn64.sys","func@0x1403b82d0","[Unknown]","0x1403b82d0"
"func@0x14001ce70","0.000299999","806400","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","igdkmdn64.sys","func@0x14001ce70","[Unknown]","0x14001ce70"
"func@0x1403f0a40","0.000299999","268800","1881600","0.142857","0","0","1","0","0","0","0","0","0","8.96004e+08","ntoskrnl.exe","func@0x1403f0a40","[Unknown]","0x1403f0a40"
"func@0x140351d1e","0.000299999","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140351d1e","[Unknown]","0x140351d1e"
"func@0x140248c48","0.000299999","268800","1075200","0.25","0","0","1","0","0","0","0","0","0","8.96004e+08","ntoskrnl.exe","func@0x140248c48","[Unknown]","0x140248c48"
"RtlNumberOfSetBitsEx","0.000299999","1612800","806400","2","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","RtlNumberOfSetBitsEx","[Unknown]","0x14022e8d0"
"FsRtlAcquireHeaderMutex","0.000299999","537600","0","","0","0","1","0","0","0","0","0","0","1.79201e+09","ntoskrnl.exe","FsRtlAcquireHeaderMutex","[Unknown]","0x140326620"
"func@0x140287538","0.000299999","2150400","5107200","0.421053","","","","0","0","0","0","0","0","7.16803e+09","ntoskrnl.exe","func@0x140287538","[Unknown]","0x140287538"
"func@0x14029a280","0.000199999","268800","4569600","0.0588235","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x14029a280","[Unknown]","0x14029a280"
"func@0x1404f4e50","0.000199999","268800","537600","0.5","","","","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1404f4e50","[Unknown]","0x1404f4e50"
"func@0x14001281c","0.000199999","1075200","806400","1.33333","0","0","1","0","0","0","0","0","0","5.37602e+09","nllvmm.sys","func@0x14001281c","[Unknown]","0x14001281c"
"ExGetPreviousMode","0.000199999","1344000","537600","2.5","0.2","0.3","0.5","0","0","0","0","0","0","6.72003e+09","ntoskrnl.exe","ExGetPreviousMode","[Unknown]","0x140462d10"
"func@0x1403723a4","0.000199999","268800","1612800","0.166667","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1403723a4","[Unknown]","0x1403723a4"
"CcCopyReadEx","0.000199999","0","806400","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","CcCopyReadEx","[Unknown]","0x14030aa50"
"malloc","0.000199999","0","806400","0","","","","0","0","0","0","0","0","0","ucrtbase.dll","malloc","[Unknown]","0x180015e00"
"func@0x1402e3500","0.000199999","0","806400","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402e3500","[Unknown]","0x1402e3500"
"func@0x14004d508","0.000199999","537600","537600","1","0","","","0","0","0","0","0","0","2.68801e+09","nllsp.sys","func@0x14004d508","[Unknown]","0x14004d508"
"func@0x14023f5e0","0.000199999","806400","1344000","0.6","0","0.1","0.9","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x14023f5e0","[Unknown]","0x14023f5e0"
"func@0x140277cb0","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140277cb0","[Unknown]","0x140277cb0"
"func@0x140417974","0.000199999","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140417974","[Unknown]","0x140417974"
"func@0x1402c69cb","0.000199999","1344000","806400","1.66667","0","","","0","0","0","0","0","0","6.72003e+09","ntoskrnl.exe","func@0x1402c69cb","[Unknown]","0x1402c69cb"
"func@0x180048e50","0.000199999","1344000","268800","5","0","0","1","0","0","0","0","0","0","6.72003e+09","ntdll.dll","func@0x180048e50","[Unknown]","0x180048e50"
"InterlockedPushListSList","0.000199999","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","InterlockedPushListSList","[Unknown]","0x1406ae330"
"func@0x1408ae1d0","0.000199999","0","806400","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1408ae1d0","[Unknown]","0x1408ae1d0"
"func@0x1402667f0","0.000199999","2688000","8870400","0.30303","0.2","0.1","0.7","0","0","0","0","0","0","1.34401e+10","ntoskrnl.exe","func@0x1402667f0","[Unknown]","0x1402667f0"
"func@0x1c0003480","0.000199999","0","268800","0","0","0","1","0","0","0","0","0","0","0","fltmgr.sys","func@0x1c0003480","[Unknown]","0x1c0003480"
"func@0x1403cba91","0.000199999","268800","0","","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1403cba91","[Unknown]","0x1403cba91"
"func@0x14044f9c0","0.000199999","1075200","268800","4","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14044f9c0","[Unknown]","0x14044f9c0"
"ExReleaseFastMutex","0.000199999","268800","806400","0.333333","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","ExReleaseFastMutex","[Unknown]","0x140226250"
"func@0x140226a18","0.000199999","537600","268800","2","0","","","","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140226a18","[Unknown]","0x140226a18"
"func@0x180017f70","0.000199999","537600","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntdll.dll","func@0x180017f70","[Unknown]","0x180017f70"
"func@0x1408b2920","0.000199999","1881600","2956800","0.636364","","0","","0","0","0","0","0","0","9.40804e+09","ntoskrnl.exe","func@0x1408b2920","[Unknown]","0x1408b2920"
"func@0x1c003b160","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","dxgmms2.sys","func@0x1c003b160","[Unknown]","0x1c003b160"
"KeReleaseSpinLock","0.000199999","1075200","537600","2","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","KeReleaseSpinLock","[Unknown]","0x14034d7e0"
"func@0x1408aeb40","0.000199999","1612800","1344000","1.2","","","","0","0","0","0","0","0","8.06404e+09","ntoskrnl.exe","func@0x1408aeb40","[Unknown]","0x1408aeb40"
"func@0x140249050","0.000199999","537600","268800","2","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140249050","[Unknown]","0x140249050"
"func@0x1c0057880","0.000199999","0","537600","0","","0","","0","0","0","0","0","0","0","ntfs.sys","func@0x1c0057880","[Unknown]","0x1c0057880"
"func@0x1404185a0","0.000199999","537600","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1404185a0","[Unknown]","0x1404185a0"
"KeAcquireInStackQueuedSpinLockAtDpcLevel","0.000199999","537600","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","KeAcquireInStackQueuedSpinLockAtDpcLevel","[Unknown]","0x140256210"
"RtlRbRemoveNode","0.000199999","537600","0","","0","","","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","RtlRbRemoveNode","[Unknown]","0x1402ff4d0"
"KeRcuReadLock","0.000199999","268800","268800","1","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","KeRcuReadLock","[Unknown]","0x14020a060"
"func@0x1c0009840","0.000199999","1344000","1612800","0.833333","0","0.1","0.9","0","0","0","0","0","0","6.72003e+09","fltmgr.sys","func@0x1c0009840","[Unknown]","0x1c0009840"
"func@0x140a14570","0.000199999","268800","0","","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x140a14570","[Unknown]","0x140a14570"
"func@0x140928d79","0.000199999","268800","806400","0.333333","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x140928d79","[Unknown]","0x140928d79"
"func@0x180048ce4","0.000199999","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntdll.dll","func@0x180048ce4","[Unknown]","0x180048ce4"
"std::vector<Pixel,std::allocator<Pixel> >::_Construct_n","0.000199999","268800","1344000","0.2","0","0","1","0","0","0","0","0","0","1.34401e+09","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::_Construct_n","vector","0x140021ab0"
"std::_Uninitialized_backout_al<std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::_Emplace_back","0.000199999","537600","1612800","0.333333","0","0","1","0","0","0","0","0","0","2.68801e+09","kip_sequential_profile.exe","std::_Uninitialized_backout_al<std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::_Emplace_back","xmemory","0x140021ab0"
"func@0x1c002dcc8","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","dxgmms2.sys","func@0x1c002dcc8","[Unknown]","0x1c002dcc8"
"func@0x14043b4d0","0.000199999","537600","1612800","0.333333","0","","","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14043b4d0","[Unknown]","0x14043b4d0"
"func@0x14032f4a2","0.000199999","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14032f4a2","[Unknown]","0x14032f4a2"
"func@0x140226cf6","0.000199999","268800","1344000","0.2","0","","","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x140226cf6","[Unknown]","0x140226cf6"
"func@0x14027e650","0.000199999","268800","268800","1","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x14027e650","[Unknown]","0x14027e650"
"func@0x1402bfe17","0.000199999","1075200","6720000","0.16","","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402bfe17","[Unknown]","0x1402bfe17"
"func@0x1402ca900","0.000199999","806400","0","","0","0","1","0","0","0","0","0","0","4.03202e+09","igdkmdn64.sys","func@0x1402ca900","[Unknown]","0x1402ca900"
"func@0x14003e4f0","0.000199999","0","0","0","0","","","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14003e4f0","[Unknown]","0x14003e4f0"
"KeQueryPerformanceCounter","0.000199999","806400","1075200","0.75","0","0","1","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","KeQueryPerformanceCounter","[Unknown]","0x140365f00"
"func@0x1402c5acc","0.000199999","268800","268800","1","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1402c5acc","[Unknown]","0x1402c5acc"
"func@0x1402e5ea0","0.000199999","1075200","1612800","0.666667","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402e5ea0","[Unknown]","0x1402e5ea0"
"func@0x1403cfe70","0.000199999","268800","2419200","0.111111","0","","","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1403cfe70","[Unknown]","0x1403cfe70"
"func@0x1800eb370","0.000199999","537600","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntdll.dll","func@0x1800eb370","[Unknown]","0x1800eb370"
"func@0x1403b7460","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x1403b7460","[Unknown]","0x1403b7460"
"func@0x1403b62a0","0.000199999","1881600","0","","0","0","1","0","0","0","0","0","0","9.40804e+09","igdkmdn64.sys","func@0x1403b62a0","[Unknown]","0x1403b62a0"
"func@0x140279f40","0.000199999","268800","268800","1","0","","","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x140279f40","[Unknown]","0x140279f40"
"func@0x1402c3a00","0.000199999","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402c3a00","[Unknown]","0x1402c3a00"
"func@0x140b6a4ac","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140b6a4ac","[Unknown]","0x140b6a4ac"
"func@0x140277f40","0.000199999","0","537600","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140277f40","[Unknown]","0x140277f40"
"func@0x1403cfda0","0.000199999","806400","268800","3","0","","","0","0","0","0","0","0","4.03202e+09","ntoskrnl.exe","func@0x1403cfda0","[Unknown]","0x1403cfda0"
"func@0x1403cda48","0.000199999","268800","1344000","0.2","0","","","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1403cda48","[Unknown]","0x1403cda48"
"ExReleaseCacheAwarePushLockSharedEx","0.000199999","268800","806400","0.333333","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","ExReleaseCacheAwarePushLockSharedEx","[Unknown]","0x1403fcf00"
"func@0x180020748","0.000199999","537600","268800","2","0","0","1","0","0","0","0","0","0","2.68801e+09","nllbidsdriver.sys","func@0x180020748","[Unknown]","0x180020748"
"WriteFile","0.000199999","537600","0","","0","","","0","0","0","0","0","0","2.68801e+09","kernelbase.dll","WriteFile","[Unknown]","0x18009db10"
"func@0x1402c65f0","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402c65f0","[Unknown]","0x1402c65f0"
"func@0x1402782eb","0.000199999","268800","268800","1","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1402782eb","[Unknown]","0x1402782eb"
"func@0x180028158","0.000199999","806400","0","","0","","","0","0","0","0","0","0","4.03202e+09","nllbidsdriver.sys","func@0x180028158","[Unknown]","0x180028158"
"func@0x14036b430","0.000199999","1075200","268800","4","0","0","1","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x14036b430","[Unknown]","0x14036b430"
"func@0x140323ec0","0.000199999","537600","268800","2","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140323ec0","[Unknown]","0x140323ec0"
"KeReleaseInStackQueuedSpinLockFromDpcLevel","0.000199999","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","KeReleaseInStackQueuedSpinLockFromDpcLevel","[Unknown]","0x14024f2f0"
"func@0x1404913e0","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404913e0","[Unknown]","0x1404913e0"
"ExReleaseResourceLite","0.000199999","3225600","2150400","1.5","0","0","1","0","0","0","0","0","0","1.61281e+10","ntoskrnl.exe","ExReleaseResourceLite","[Unknown]","0x14031eca0"
"func@0x14097804c","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14097804c","[Unknown]","0x14097804c"
"func@0x1402351b0","0.000199999","1344000","9139200","0.147059","","0","","0","0","0","0","0","0","6.72003e+09","ntoskrnl.exe","func@0x1402351b0","[Unknown]","0x1402351b0"
"KeAcquireSpinLockRaiseToDpc","0.000199999","1881600","806400","2.33333","0","0","1","0","0","0","0","0","0","9.40804e+09","ntoskrnl.exe","KeAcquireSpinLockRaiseToDpc","[Unknown]","0x140302020"
"func@0x140347ad0","0.000199999","537600","806400","0.666667","0","0","","","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140347ad0","[Unknown]","0x140347ad0"
"func@0x1406ad450","0.000199999","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1406ad450","[Unknown]","0x1406ad450"
"func@0x140353870","0.000199999","268800","0","","0","0","1","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x140353870","[Unknown]","0x140353870"
"func@0x1403d0bb0","0.000199999","268800","806400","0.333333","0","","","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1403d0bb0","[Unknown]","0x1403d0bb0"
"func@0x1402b33f0","0.000199999","268800","2688000","0.1","","","","0","0","0","0","0","0","1.34401e+09","ntoskrnl.exe","func@0x1402b33f0","[Unknown]","0x1402b33f0"
"func@0x1403cdb30","0.000199999","1075200","1075200","1","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1403cdb30","[Unknown]","0x1403cdb30"
"func@0x14025e860","9.99996e-05","0","806400","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14025e860","[Unknown]","0x14025e860"
"func@0x140151610","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x140151610","[Unknown]","0x140151610"
"func@0x1403ced64","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403ced64","[Unknown]","0x1403ced64"
"func@0x140144160","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","igdkmdn64.sys","func@0x140144160","[Unknown]","0x140144160"
"func@0x1402ca720","9.99996e-05","537600","268800","2","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402ca720","[Unknown]","0x1402ca720"
"func@0x14021ca20","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14021ca20","[Unknown]","0x14021ca20"
"func@0x1404f74fc","9.99996e-05","268800","0","","","0","","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1404f74fc","[Unknown]","0x1404f74fc"
"func@0x140241f4b","9.99996e-05","268800","537600","0.5","0","","","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140241f4b","[Unknown]","0x140241f4b"
"func@0x1403f2814","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403f2814","[Unknown]","0x1403f2814"
"func@0x140287fac","9.99996e-05","806400","1344000","0.6","0.1","0","0.9","0","0","0","0","0","0","8.06404e+09","ntoskrnl.exe","func@0x140287fac","[Unknown]","0x140287fac"
"func@0x1403cd430","9.99996e-05","268800","537600","0.5","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1403cd430","[Unknown]","0x1403cd430"
"func@0x14025a5ff","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14025a5ff","[Unknown]","0x14025a5ff"
"func@0x1402197db","9.99996e-05","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402197db","[Unknown]","0x1402197db"
"func@0x140217670","9.99996e-05","806400","0","","0","0.1","0","1","0","0","0","0","0","8.06404e+09","igdkmdn64.sys","func@0x140217670","[Unknown]","0x140217670"
"func@0x1403e6524","9.99996e-05","0","2688000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403e6524","[Unknown]","0x1403e6524"
"func@0x1404794c0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404794c0","[Unknown]","0x1404794c0"
"func@0x14023cdc0","9.99996e-05","1075200","1612800","0.666667","0","0","1","0","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","func@0x14023cdc0","[Unknown]","0x14023cdc0"
"func@0x1402c97b0","9.99996e-05","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402c97b0","[Unknown]","0x1402c97b0"
"MmUnlockPages","9.99996e-05","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","MmUnlockPages","[Unknown]","0x14030d4e0"
"func@0x1408ae41e","9.99996e-05","537600","268800","2","0","0","1","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1408ae41e","[Unknown]","0x1408ae41e"
"func@0x1403bcc03","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1403bcc03","[Unknown]","0x1403bcc03"
"func@0x1403cefe0","9.99996e-05","2688000","1344000","2","","","","0","0","0","0","0","0","2.68801e+10","ntoskrnl.exe","func@0x1403cefe0","[Unknown]","0x1403cefe0"
"func@0x14047eca0","9.99996e-05","806400","806400","1","0","","","0","0","0","0","0","0","8.06404e+09","ntoskrnl.exe","func@0x14047eca0","[Unknown]","0x14047eca0"
"func@0x1403693a0","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1403693a0","[Unknown]","0x1403693a0"
"func@0x1402aa4f0","9.99996e-05","806400","1612800","0.5","0","0","1","0","0","0","0","0","0","8.06404e+09","ntoskrnl.exe","func@0x1402aa4f0","[Unknown]","0x1402aa4f0"
"ExpInterlockedPushEntrySList","9.99996e-05","537600","2419200","0.222222","0","0.05","0.95","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","ExpInterlockedPushEntrySList","[Unknown]","0x1406ae2c0"
"func@0x140260624","9.99996e-05","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140260624","[Unknown]","0x140260624"
"func@0x140284db2","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140284db2","[Unknown]","0x140284db2"
"EtwEventEnabled","9.99996e-05","1881600","1344000","1.4","0.2","0.1","0.7","0","0","0","0","0","0","1.88161e+10","ntoskrnl.exe","EtwEventEnabled","[Unknown]","0x140305c30"
"func@0x1402c2fcb","9.99996e-05","1075200","0","","0","0","","","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","func@0x1402c2fcb","[Unknown]","0x1402c2fcb"
"func@0x1402af43f","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402af43f","[Unknown]","0x1402af43f"
"ExAcquireCacheAwarePushLockSharedEx","9.99996e-05","1344000","1881600","0.714286","0","","","0","0","0","0","0","0","1.34401e+10","ntoskrnl.exe","ExAcquireCacheAwarePushLockSharedEx","[Unknown]","0x140322940"
"func@0x1408b3bc0","9.99996e-05","0","806400","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1408b3bc0","[Unknown]","0x1408b3bc0"
"PsGetCurrentServerSilo","9.99996e-05","537600","806400","0.666667","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","PsGetCurrentServerSilo","[Unknown]","0x1403dec90"
"func@0x1404f71fc","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404f71fc","[Unknown]","0x1404f71fc"
"func@0x14023a900","9.99996e-05","268800","1881600","0.142857","0","","","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14023a900","[Unknown]","0x14023a900"
"func@0x1408af3d0","9.99996e-05","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1408af3d0","[Unknown]","0x1408af3d0"
"func@0x140269990","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140269990","[Unknown]","0x140269990"
"func@0x1403cded4","9.99996e-05","1075200","268800","4","0","","","0","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","func@0x1403cded4","[Unknown]","0x1403cded4"
"func@0x140304f50","9.99996e-05","806400","537600","1.5","0","0","1","0","0","0","0","0","0","8.06404e+09","ntoskrnl.exe","func@0x140304f50","[Unknown]","0x140304f50"
"func@0x140311cf0","9.99996e-05","0","268800","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140311cf0","[Unknown]","0x140311cf0"
"func@0x140856903","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140856903","[Unknown]","0x140856903"
"ExAcquireSpinLockExclusive","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","ExAcquireSpinLockExclusive","[Unknown]","0x14025cc60"
"func@0x1408637f0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1408637f0","[Unknown]","0x1408637f0"
"func@0x14023b5e0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14023b5e0","[Unknown]","0x14023b5e0"
"func@0x14024a7c0","9.99996e-05","268800","1075200","0.25","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14024a7c0","[Unknown]","0x14024a7c0"
"func@0x140323af2","9.99996e-05","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140323af2","[Unknown]","0x140323af2"
"func@0x14028604c","9.99996e-05","0","268800","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14028604c","[Unknown]","0x14028604c"
"func@0x140226570","9.99996e-05","806400","0","","0","0","1","0","0","0","0","0","0","8.06404e+09","ntoskrnl.exe","func@0x140226570","[Unknown]","0x140226570"
"func@0x1402a0abc","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402a0abc","[Unknown]","0x1402a0abc"
"func@0x1402a741c","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402a741c","[Unknown]","0x1402a741c"
"func@0x14085cbf0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14085cbf0","[Unknown]","0x14085cbf0"
"func@0x14010dbd0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","igdkmdn64.sys","func@0x14010dbd0","[Unknown]","0x14010dbd0"
"func@0x1402324d0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402324d0","[Unknown]","0x1402324d0"
"func@0x1402e9487","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402e9487","[Unknown]","0x1402e9487"
"func@0x140299b8c","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140299b8c","[Unknown]","0x140299b8c"
"func@0x14021c5b0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14021c5b0","[Unknown]","0x14021c5b0"
"func@0x140217e02","9.99996e-05","268800","268800","1","0","0","1","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140217e02","[Unknown]","0x140217e02"
"func@0x140266de4","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140266de4","[Unknown]","0x140266de4"
"func@0x140278ea0","9.99996e-05","1344000","0","","0","","","0","0","0","0","0","0","1.34401e+10","ntoskrnl.exe","func@0x140278ea0","[Unknown]","0x140278ea0"
"func@0x140bb4780","9.99996e-05","1075200","806400","1.33333","0","","","0","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","func@0x140bb4780","[Unknown]","0x140bb4780"
"func@0x1402c6170","9.99996e-05","0","1881600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402c6170","[Unknown]","0x1402c6170"
"func@0x1404168c0","9.99996e-05","0","1612800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404168c0","[Unknown]","0x1404168c0"
"func@0x1402581f0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402581f0","[Unknown]","0x1402581f0"
"func@0x140228890","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140228890","[Unknown]","0x140228890"
"RtlPrefixUnicodeString","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","RtlPrefixUnicodeString","[Unknown]","0x14087f4e0"
"func@0x1402787f7","9.99996e-05","1344000","1075200","1.25","0","0","1","0","0","0","0","0","0","1.34401e+10","ntoskrnl.exe","func@0x1402787f7","[Unknown]","0x1402787f7"
